#,STATE,STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,"LAST NAME, FIRST",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,GE RUNOFF,GE RUNOFF %,Notes (See Endnotes Tab)
904,Georgia,GA,10,,,,,,District Votes:,,"65,148",,,,"219,136",,,,
905,Georgia,GA,11,H2GA11149,(I),Phil,Gingrey,"Gingrey, Phil",,R,"32,408",100.00%,,,"120,696",57.40%,,,
906,Georgia,GA,11,,,,,,Party Votes:,R,"32,408",,,,,,,,
907,Georgia,GA,11,H4GA11038,,Rick,Crawford,"Crawford, Rick",,D,"33,546",100.00%,,,"89,591",42.60%,,,
908,Georgia,GA,11,,,,,,Party Votes:,D,"33,546",,,,,,,,
909,Georgia,GA,11,,,,,,District Votes:,,"65,954",,,,"210,287",,,,
910,Georgia,GA,12,H4GA12010,,John,Barrow,"Barrow, John",,D,"28,110",51.46%,,,"113,036",51.81%,,,
911,Georgia,GA,12,H4GA12028,,Doug,Haines,"Haines, Doug",,D,"15,808",28.94%,,,,,,,
912,Georgia,GA,12,H2GA06057,,Tony,Center,"Center, Tony",,D,"8,122",14.87%,,,,,,,
913,Georgia,GA,12,H4GA12036,,Caine,Cortellino,"Cortellino, Caine",,D,"2,585",4.73%,,,,,,,
914,Georgia,GA,12,,,,,,Party Votes:,D,"54,625",,,,,,,,
915,Georgia,GA,12,H2GA12097,(I),Max,Burns,"Burns, Max",,R,"29,962",100.00%,,,"105,132",48.19%,,,
916,Georgia,GA,12,,,,,,Party Votes:,R,"29,962",,,,,,,,
917,Georgia,GA,12,,,,,,District Votes:,,"84,587",,,,"218,168",,,,
918,Georgia,GA,13,H2GA13012,(I),David,Scott,"Scott, David",,D,"42,498",83.59%,,,"170,657",100.00%,,,
919,Georgia,GA,13,H4GA13018,,William,Ogletree,"Ogletree, William",,D,"8,340",16.41%,,,,,,,
920,Georgia,GA,13,,,,,,Party Votes:,D,"50,838",,,,,,,,
921,Georgia,GA,13,,,,,,District Votes:,,"50,838",,,,"170,657",,,,
922,Georgia,GA,H,,,,,,House Votes:,,"1,030,037",,"113,874",,"2,960,763",,,,
923,Georgia,GA,S,S6GA00119,,Johnny,Isakson,"Isakson, Johnny",,R,"346,670",53.25%,,,"1,864,202",58.24%,,,
924,Georgia,GA,S,S4GA11046,,Herman,Cain,"Cain, Herman",,R,"170,370",26.17%,,,,,,,
925,Georgia,GA,S,S4GA11053,,Mac,Collins,"Collins, Mac",,R,"133,952",20.58%,,,,,,,
926,Georgia,GA,S,,,,,,Party Votes:,R,"650,992",,,,,,,,
927,Georgia,GA,S,S4GA11137,,Denise L.,Majette,"Majette, Denise L.",,D,"258,469",41.35%,"161,733",59.40%,"1,267,690",39.60%,,,
928,Georgia,GA,S,S4GA11178,,Cliff,Oxford,"Oxford, Cliff",,D,"128,531",20.56%,"110,526",40.60%,,,,,
929,Georgia,GA,S,S4GA00023,,Jim,Boyd,"Boyd, Jim",,D,"87,694",14.03%,,,,,,,
930,Georgia,GA,S,S4GA11061,,Mary Hodges,Squires,"Squires, Mary Hodges",,D,"55,040",8.80%,,,,,,,
931,Georgia,GA,S,S4GA11152,,Leigh,Baier,"Baier, Leigh",,D,"47,484",7.60%,,,,,,,
932,Georgia,GA,S,S4GA11145,,Jim,Finkelstein,"Finkelstein, Jim",,D,"22,532",3.60%,,,,,,,
933,Georgia,GA,S,S4GA11160,,Sid,Cottingham,"Cottingham, Sid",,D,"16,200",2.59%,,,,,,,
934,Georgia,GA,S,S4GA11129,,Govind N.,Patel,"Patel, Govind N.",,D,"9,165",1.47%,,,,,,,
935,Georgia,GA,S,,,,,,Party Votes:,D,"625,115",,"272,259",,,,,,
936,Georgia,GA,S,S4GA11103,,Allen,Buckley,"Buckley, Allen",,LBT,,,,,"69,051",2.16%,,,
937,Georgia,GA,S,S4GA11038,,Al,Bartell,"Bartell, Al",,W,,,,,31,0.00%,,,
938,Georgia,GA,S,S4GA11194,,Matthew,Jamison,"Jamison, Matthew",,W,,,,,7,0.00%,,,
939,Georgia,GA,S,,,,,,Senate Votes:,,"1,276,107",,"272,259",,"3,200,981",,,,
940,Georgia,GA,,,,,,,Total State Votes:,,"2,306,144",,"386,133",,"6,161,744",,,,5
941,Guam,GU,0,H2GU00033,(I),Madeleine Z.,Bordallo,"Bordallo, Madeleine Z.",,D,"12,830",98.99%,,,"31,051",97.38%,,,
942,Guam,GU,0,,,,,Scattered,,W(D),131,1.01%,,,,,,,
943,Guam,GU,0,,,,,,Party Votes:,D,"12,961",,,,,,,,
944,Guam,GU,0,,,,,Scattered,,W,,,,,837,2.62%,,,
945,Guam,GU,0,,,,,,District Votes:,,"12,961",,,,"31,888",,,,
946,Guam,GU,0,,,,,,House Votes:,,"12,961",,,,"31,888",,,,
947,Guam,GU,,,,,,,Total Votes:,,"12,961",,,,"31,888",,,,
948,Hawaii,HI,1,H6HI01121,(I),Neil,Abercrombie,"Abercrombie, Neil",,D,"73,934",100.00%,,,"128,567",62.97%,,,
949,Hawaii,HI,1,,,,,,Party Votes:,D,"73,934",,,,,,,,
950,Hawaii,HI,1,H4HI01076,,Dalton,Tanonaka,"Tanonaka, Dalton",,R,"26,475",100.00%,,,"69,371",33.98%,,,
951,Hawaii,HI,1,,,,,,Party Votes:,R,"26,475",,,,,,,,
952,Hawaii,HI,1,H4HI01092,,Elyssa (Erin O'Bryn),Young,"Young, Elyssa (Erin O'Bryn)",,LBT,455,100.00%,,,"6,243",3.06%,,,
953,Hawaii,HI,1,,,,,,Party Votes:,LBT,455,,,,,,,,
954,Hawaii,HI,1,,,,,,District Votes:,,"100,864",,,,"204,181",,,,
955,Hawaii,HI,2,H2HI02128,(I),Ed ,Case,"Case, Ed ",,D,"73,705",94.70%,,,"133,317",62.77%,,,
956,Hawaii,HI,2,H4HI02074,,John,Gentile,"Gentile, John",,D,"4,121",5.30%,,,,,,,
957,Hawaii,HI,2,,,,,,Party Votes:,D,"77,826",,,,,,,,
958,Hawaii,HI,2,H0HI01116,,Mike,Gabbard,"Gabbard, Mike",,R,"21,698",83.29%,,,"79,072",37.23%,,,
959,Hawaii,HI,2,H4HI02066,,Inam,Rahman,"Rahman, Inam",,R,"2,102",8.07%,,,,,,,
960,Hawaii,HI,2,H4HI02090,,Jonathan,Treat,"Treat, Jonathan",,R,"1,134",4.35%,,,,,,,
961,Hawaii,HI,2,H4HI02082,,Miles,Shiratori,"Shiratori, Miles",,R,"1,116",4.28%,,,,,,,
962,Hawaii,HI,2,,,,,,Party Votes:,R,"26,050",,,,,,,,
963,Hawaii,HI,2,H3HI02126,,Sophie Marie,Mataafa,"Mataafa, Sophie Marie",,N,518,100.00%,,,,,,,
964,Hawaii,HI,2,,,,,,Party Votes:,N,518,,,,,,,,
965,Hawaii,HI,2,,,,,,District Votes:,,"104,394",,,,"212,389",,,,
966,Hawaii,HI,H,,,,,,House Votes:,,"205,258",,,,"416,570",,,,
967,Hawaii,HI,S,S4HI00011,(I),Daniel K.,Inouye,"Inouye, Daniel K.",,D,"157,367",93.75%,,,"313,629",75.51%,,,
968,Hawaii,HI,S,S4HI00078,,Brian,Evans,"Evans, Brian",,D,"8,051",4.80%,,,,,,,
969,Hawaii,HI,S,S4HI00094,,Eddie,Yoon,"Yoon, Eddie",,D,"2,437",1.45%,,,,,,,
970,Hawaii,HI,S,,,,,,Party Votes:,D,"167,855",,,,,,,,
971,Hawaii,HI,S,S4HI00102,,Cam,Cavasso,"Cavasso, Cam",,R,"21,645",49.24%,,,"87,172",20.99%,,,
972,Hawaii,HI,S,S4HI00110,,Rich,Payne,"Payne, Rich",,R,"9,630",21.91%,,,,,,,
973,Hawaii,HI,S,S8HI00103,,Jay,Friedheim,"Friedheim, Jay",,R,"7,028",15.99%,,,,,,,
974,Hawaii,HI,S,S4HI00052,,James R.,DeLuze,"DeLuze, James R.",,R,"5,653",12.86%,,,,,,,
975,Hawaii,HI,S,,,,,,Party Votes:,R,"43,956",,,,,,,,
976,Hawaii,HI,S,S8HI00160,,Jim,Brewer,"Brewer, Jim",,N,"1,005",72.93%,,,"9,269",2.23%,,,
977,Hawaii,HI,S,S8HI00160,,J. Turner,Brown,"Brown, J. Turner",,N,373,27.07%,,,,,,,
978,Hawaii,HI,S,,,,,,Party Votes:,N,"1,378",,,,,,,,
979,Hawaii,HI,S,S8HI00152,,Jeff,Mallan,"Mallan, Jeff",,LBT,752,100.00%,,,"5,277",1.27%,,,
980,Hawaii,HI,S,,,,,,Party Votes:,LBT,752,,,,,,,,
981,Hawaii,HI,S,,,,,,Senate Votes:,,"213,941",,,,"415,347",,,,
982,Hawaii,HI,,,,,,,Total State Votes:,,"419,199",,,,"831,917",,,,
983,Idaho,ID,1,H0ID01139,(I),"C.L. Butch"""""".L. ""B""""L""",Otter,"Otter, C.L. Butch""""""tter"," """,,R,"48,986",78.48%,,,"207,662",69.55%,,
984,Idaho,ID,1,H8ID01066,,Jim,Pratt,"Pratt, Jim",,R,"13,433",21.52%,,,,,,,
985,Idaho,ID,1,,,,,,Party Votes:,R,"62,419",,,,,,,,
986,Idaho,ID,1,H4ID01073,,Naomi,Preston,"Preston, Naomi",,D,"13,250",100.00%,,,"90,927",30.45%,,,
987,Idaho,ID,1,,,,,,Party Votes:,D,"13,250",,,,,,,,
988,Idaho,ID,1,,,,,,District Votes:,,"75,669",,,,"298,589",,,,
989,Idaho,ID,2,H8ID02064,(I),Mike,Simpson,"Simpson, Mike",,R,"57,124",100.00%,,,"193,704",70.74%,,,
990,Idaho,ID,2,,,,,,Party Votes:,R,"57,124",,,,,,,,
991,Idaho,ID,2,H4ID02055,,Lin,Whitworth,"Whitworth, Lin",,D,"12,491",100.00%,,,"80,133",29.26%,,,
992,Idaho,ID,2,,,,,,Party Votes:,D,"12,491",,,,,,,,
993,Idaho,ID,2,,,,,,District Votes:,,"69,615",,,,"273,837",,,,
994,Idaho,ID,H,,,,,,House Votes:,,"145,284",,,,"572,426",,,,
995,Idaho,ID,S,S8ID00027,(I),Mike,Crapo,"Crapo, Mike",,R,"118,286",100.00%,,,"499,796",99.18%,,,
996,Idaho,ID,S,,,,,,Party Votes:,R,"118,286",,,,,,,,
997,Idaho,ID,S,S4ID00059,,Scott F. ,McClure,"McClure, Scott F. ",,W(D),,,,,"4,136",0.82%,,,
998,Idaho,ID,S,,,,,,Senate Votes:,,"118,286",,,,"503,932",,,,
999,Idaho,ID,,,,,,,Total State Votes:,,"263,570",,,,"1,076,358",,,,
1000,Illinois,IL,1,H2IL01042,(I),Bobby L.,Rush,"Rush, Bobby L.",,D,"102,540",100.00%,,,"212,109",84.86%,,,
1001,Illinois,IL,1,,,,,,Party Votes:,D,"102,540",,,,,,,,
1002,Illinois,IL,1,H0IL01111,,Raymond G.,Wardingley,"Wardingley, Raymond G.",,R,"7,190",100.00%,,,"37,840",15.14%,,,
1003,Illinois,IL,1,,,,,,Party Votes:,R,"7,190",,,,,,,,
1004,Illinois,IL,1,,,,,,District Votes:,,"109,730",,,,"249,949",,,,
1005,Illinois,IL,2,H6IL02124,(I),Jesse L.,"Jackson, Jr.","Jackson, Jesse L., Jr.",,D,"106,506",88.55%,,,"207,535",88.49%,,,
1006,Illinois,IL,2,H8lL02039,,Melvin (Mel) J.,Reynolds,"Reynolds, Melvin (Mel) J.",,D,"7,103",5.91%,,,,,,,
1007,Illinois,IL,2,H2IL02107,,Anthony W.,Williams,"Williams, Anthony W.",,D,"5,159",4.29%,,,,,,,
1008,Illinois,IL,2,H4IL02137,,Everett Drayden,Shumpert,"Shumpert, Everett Drayden",,D,"1,516",1.26%,,,,,,,
1009,Illinois,IL,2,,,,,,Party Votes:,D,"120,284",,,,,,,,
1010,Illinois,IL,2,H0IL04057,,Stephanie,Sailor,"Sailor, Stephanie",,LBT,,,,,"26,990",11.51%,,,
1011,Illinois,IL,2,,,,,,District Votes:,,"120,284",,,,"234,525",,,,
1012,Illinois,IL,3,H4IL03077,,Daniel William,Lipinski,"Lipinski, Daniel William",,D,,,,,"167,034",72.64%,,,6
1013,Illinois,IL,3,H2IL05019,(I),William O.,Lipinski,"Lipinski, William O.",,D,"74,420",100.00%,,,,,,,
1014,Illinois,IL,3,,,,,,Party Votes:,D,"74,420",,,,,,,,
1015,Illinois,IL,3,H4IL03069,,Ryan,Chlada,"Chlada, Ryan",,R,"17,201",100.00%,,,"57,845",25.15%,,,
1016,Illinois,IL,3,,,,,,Party Votes:,R,"17,201",,,,,,,,
1017,Illinois,IL,3,,,Krista,Grimm,"Grimm, Krista",,W,,,,,"5,077",2.21%,,,
1018,Illinois,IL,3,,,,,,District Votes:,,"91,621",,,,"229,956",,,,
1019,Illinois,IL,4,H2IL08039,(I),Luis V.,Gutierrez,"Gutierrez, Luis V.",,D,"37,382",100.00%,,,"104,761",83.71%,,,
1020,Illinois,IL,4,,,,,,Party Votes:,D,"37,382",,,,,,,,
1021,Illinois,IL,4,H2IL04129,,Tony,Cisneros,"Cisneros, Tony",,R,"3,296",100.00%,,,"15,536",12.41%,,,
1022,Illinois,IL,4,,,,,,Party Votes:,R,"3,296",,,,,,,,
1023,Illinois,IL,4,H4IL04067,,Jake,Witmer,"Witmer, Jake",,LBT,42,100.00%,,,"4,845",3.87%,,,
1024,Illinois,IL,4,,,,,,Party Votes:,LBT,42,,,,,,,,
1025,Illinois,IL,4,,,,,,District Votes:,,"40,720",,,,"125,142",,,,
1026,Illinois,IL,5,H2IL05092,(I),Rahm,Emanuel,"Emanuel, Rahm",,D,"60,821",83.23%,,,"158,400",76.18%,,,
1027,Illinois,IL,5,H2IL05142,,Mark Arnold ,Fredrickson,"Fredrickson, Mark Arnold ",,D,"12,255",16.77%,,,,,,,
1028,Illinois,IL,5,,,,,,Party Votes:,D,"73,076",,,,,,,,
1029,Illinois,IL,5,H4IL05148,,Bruce,Best,"Best, Bruce",,R,"10,148",100.00%,,,"49,530",23.82%,,,
1030,Illinois,IL,5,,,,,,Party Votes:,R,"10,148",,,,,,,,
1031,Illinois,IL,5,,,,,,District Votes:,,"83,224",,,,"207,930",,,,
1032,Illinois,IL,6,H6IL06026,(I),Henry J.,Hyde,"Hyde, Henry J.",,R,"50,583",100.00%,,,"139,627",55.83%,,,
1033,Illinois,IL,6,,,,,,Party Votes:,R,"50,583",,,,,,,,
1034,Illinois,IL,6,H4IL06096,,Christine,Cegelis,"Cegelis, Christine",,D,"23,253",64.31%,,,"110,470",44.17%,,,
1035,Illinois,IL,6,H4IL06039,,Tom,Berry,"Berry, Tom",,D,"12,905",35.69%,,,,,,,
1036,Illinois,IL,6,,,,,,Party Votes:,D,"36,158",,,,,,,,
1037,Illinois,IL,6,,,,,,District Votes:,,"86,741",,,,"250,097",,,,
1038,Illinois,IL,7,H4IL07037,(I),Danny K.,Davis,"Davis, Danny K.",,D,"84,950",82.21%,,,"221,133",86.13%,,,
1039,Illinois,IL,7,H4IL07110,,Anita,Rivkin-Carothers,"Rivkin-Carothers, Anita",,D,"15,190",14.70%,,,,,,,
1040,Illinois,IL,7,H0IL07084,,Robert ,Dallas,"Dallas, Robert ",,D,"3,191",3.09%,,,,,,,
1041,Illinois,IL,7,,,,,,Party Votes:,D,"103,331",,,,,,,,
1042,Illinois,IL,7,H4IL07136,,Antonio,Davis-Fairman,"Davis-Fairman, Antonio",,R,"6,780",100.00%,,,"35,603",13.87%,,,
1043,Illinois,IL,7,,,,,,Party Votes:,R,"6,780",,,,,,,,
1044,Illinois,IL,7,,,,,,District Votes:,,"110,111",,,,"256,736",,,,
1045,Illinois,IL,8,H2IL08088,,Melissa,Bean,"Bean, Melissa",,D,"26,740",78.05%,,,"139,792",51.70%,,,
1046,Illinois,IL,8,H4IL08092,,Wiliam C. ,Scheurer,"Scheurer, Wiliam C. ",,D,"7,518",21.95%,,,,,,,
1047,Illinois,IL,8,,,,,,Party Votes:,D,"34,258",,,,,,,,
1048,Illinois,IL,8,H6IL12016,(I),Philip ,Crane,"Crane, Philip ",,R,"35,412",68.68%,,,"130,601",48.30%,,,
1049,Illinois,IL,8,H8IL19066,,David W. ,Phelps,"Phelps, David W. ",,R,"16,146",31.32%,,,,,,,
1050,Illinois,IL,8,,,,,,Party Votes:,R,"51,558",,,,,,,,
1051,Illinois,IL,8,,,,,,District Votes:,,"85,816",,,,"270,393",,,,
1052,Illinois,IL,9,H8IL09067,(I),Janice D.,Schakowsky,"Schakowsky, Janice D.",,D,"70,736",100.00%,,,"175,282",75.74%,,,
1053,Illinois,IL,9,,,,,,Party Votes:,D,"70,736",,,,,,,,
1054,Illinois,IL,9,H4IL09066,,Kurt J.,Eckhardt,"Eckhardt, Kurt J.",,R,n/a,,,,"56,135",24.26%,,,
1055,Illinois,IL,9,,,,,,Party Votes:,R,n/a,,,,,,,,
1056,Illinois,IL,9,,,,,,District Votes:,,"70,736",,,,"231,417",,,,
1057,Illinois,IL,10,H0IL10120,(I),Mark Steven,Kirk,"Kirk, Mark Steven",,R,"37,764",100.00%,,,"177,493",64.14%,,,
1058,Illinois,IL,10,,,,,,Party Votes:,R,"37,764",,,,,,,,
1059,Illinois,IL,10,H4IL10056,,Lee,Goodman,"Goodman, Lee",,D,"34,488",100.00%,,,"99,218",35.86%,,,
1060,Illinois,IL,10,,,,,,Party Votes:,D,"34,488",,,,,,,,
1061,Illinois,IL,10,,,,,,District Votes:,,"72,252",,,,"276,711",,,,
1062,Illinois,IL,11,H4IL11096,(I),"Gerald C. Jerry""""""erald """,Weller,"Weller, Gerald Jerry"" C.""""eller"," Ge""",R,"44,378",100.00%,,,"173,057",58.67%,,,
1063,Illinois,IL,11,,,,,,Party Votes:,R,"44,378",,,,,,,,
1064,Illinois,IL,11,H4IL11187,,Tari,Renner,"Renner, Tari",,D,"36,745",100.00%,,,"121,903",41.33%,,,
1065,Illinois,IL,11,,,,,,Party Votes:,D,"36,745",,,,,,,,
1066,Illinois,IL,11,,,,,,District Votes:,,"81,123",,,,"294,960",,,,
1067,Illinois,IL,12,H8IL21021,(I),Jerry F.,Costello,"Costello, Jerry F.",,D,"56,397",90.00%,,,"198,962",69.46%,,,
1068,Illinois,IL,12,H8IL12053,,Kenneth Charles,Wiezer,"Wiezer, Kenneth Charles",,D,"6,265",10.00%,,,,,,,
1069,Illinois,IL,12,,,,,,Party Votes:,D,"62,662",,,,,,,,
1070,Illinois,IL,12,H4IL20245,,Erin R.,Zweigart,"Zweigart, Erin R.",,R,"18,714",100.00%,,,"82,677",28.86%,,,
1071,Illinois,IL,12,,,,,,Party Votes:,R,"18,714",,,,,,,,
1072,Illinois,IL,12,H4IL12052,,Walter B.,Steele,"Steele, Walter B.",,LBT,,,,,"4,794",1.67%,,,
1073,Illinois,IL,12,,,Patricia Elaine,Beard,"Beard, Patricia Elaine",,W,,,,,2,0.00%,,,
1074,Illinois,IL,12,,,,,,District Votes:,,"81,376",,,,"286,435",,,,
1075,Illinois,IL,13,H8IL13069,(I),Judy,Biggert,"Biggert, Judy",,R,"46,861",99.51%,,,"200,472",65.02%,,,
1076,Illinois,IL,13,H4IL13167,,Bob,Hart,"Hart, Bob",,W(R),231,0.49%,,,,,,,
1077,Illinois,IL,13,,,,,,Party Votes:,R,"47,092",,,,,,,,
1078,Illinois,IL,13,H4IL13159,,Gloria Schor,Andersen,"Andersen, Gloria Schor",,D,"37,636",100.00%,,,"107,836",34.98%,,,
1079,Illinois,IL,13,,,,,,Party Votes:,D,"37,636",,,,,,,,
1080,Illinois,IL,13,,,Mark Alan,Mastrogiovannia,"Mastrogiovanni, Mark Alan",,W ,,,,,4,0.00%,,,
1081,Illinois,IL,13,,,,,,District Votes:,,"84,728",,,,"308,312",,,,
1082,Illinois,IL,14,H6IL14095,(I),J. Dennis,Hastert,"Hastert, J. Dennis",,R,"54,168",100.00%,,,"191,618",68.63%,,,
1083,Illinois,IL,14,,,,,,Party Votes:,R,"54,168",,,,,,,,
1084,Illinois,IL,14,H4IL14116,,Ruben,Zamora,"Zamora, Ruben",,D,n/a,,,,"87,590",31.37%,,,
1085,Illinois,IL,14,,,,,,District Votes:,,"54,168",,,,"279,208",,,,
1086,Illinois,IL,15,H0IL15053,(I),Tim,Johnson,"Johnson, Tim",,R,"53,150",100.00%,,,"178,114",61.05%,,,
1087,Illinois,IL,15,,,,,,Party Votes:,R,"53,150",,,,,,,,
1088,Illinois,IL,15,H4IL15055,,David,Gill,"Gill, David",,D,"21,323",73.81%,,,"113,625",38.95%,,,
1089,Illinois,IL,15,H4IL15063,,Ralph L.,"Langenheim, Jr.","Langenheim, Ralph L., Jr.",,D,"7,565",26.19%,,,,,,,
1090,Illinois,IL,15,,,,,,Party Votes:,D,"28,888",,,,,,,,
1091,Illinois,IL,15,,,,,,District Votes:,,"82,038",,,,"291,739",,,,
1092,Illinois,IL,16,H0IL16085,(I),Donald A. ,Manzullo,"Manzullo, Donald A. ",,R,"59,507",100.00%,,,"204,350",69.08%,,,
1093,Illinois,IL,16,,,,,,Party Votes:,R,"59,507",,,,,,,,
1094,Illinois,IL,16,H2IL16032,,John H.,Kutsch,"Kutsch, John H.",,D,"34,141",100.00%,,,"91,452",30.92%,,,
1095,Illinois,IL,16,,,,,,Party Votes:,D,"34,141",,,,,,,,
1096,Illinois,IL,16,,,Tom,Carlson,"Carlson, Tom",,W,,,,,4,0.00%,,,
1097,Illinois,IL,16,,,,,,District Votes:,,"93,648",,,,"295,806",,,,
1098,Illinois,IL,17,H2IL19010,(I),Lane A.,Evans,"Evans, Lane A.",,D,"46,328",100.00%,,,"172,320",60.68%,,,
1099,Illinois,IL,17,,,,,,Party Votes:,D,"46,328",,,,,,,,
1100,Illinois,IL,17,H4IL17069,,Andrea Lane,Zinga,"Zinga, Andrea Lane",,R,"30,160",100.00%,,,"111,680",39.32%,,,
1101,Illinois,IL,17,,,,,,Party Votes:,R,"30,160",,,,,,,,
1102,Illinois,IL,17,,,,,,District Votes:,,"76,488",,,,"284,000",,,,
1103,Illinois,IL,18,H4IL18059,(I),Ray,LaHood,"LaHood, Ray",,R,"52,026",100.00%,,,"216,047",70.24%,,,
1104,Illinois,IL,18,,,,,,Party Votes:,R,"52,026",,,,,,,,
1105,Illinois,IL,18,H4IL18091,,Steve,Waterworth,"Waterworth, Steve",,D,"25,838",100.00%,,,"91,548",29.76%,,,
1106,Illinois,IL,18,,,,,,Party Votes:,D,"25,838",,,,,,,,
1107,Illinois,IL,18,,,,,,District Votes:,,"77,864",,,,"307,595",,,,
1108,Illinois,IL,19,H2IL20042,(I),John M.,Shimkus,"Shimkus, John M.",,R,"38,892",100.00%,,,"213,451",69.36%,,,
1109,Illinois,IL,19,,,,,,Party Votes:,R,"38,892",,,,,,,,
1110,Illinois,IL,19,H4IL19073,,Tim ,Bagwell,"Bagwell, Tim ",,D,"32,795",100.00%,,,"94,303",30.64%,,,
1111,Illinois,IL,19,,,,,,Party Votes:,D,"32,795",,,,,,,,
1112,Illinois,IL,19,,,,,,District Votes:,,"71,687",,,,"307,754",,,,
1113,Illinois,IL,H,,,,,,House Votes:,,"1,574,355",,,,"4,988,665",,,,
1114,Illinois,IL,S,S4IL00180,,Barack,Obama,"Obama, Barack",,D,"655,923",52.77%,,,"3,597,456",69.97%,,,
1115,Illinois,IL,S,S4IL00206,,Daniel W.,Hynes,"Hynes, Daniel W.",,D,"294,717",23.71%,,,,,,,
1116,Illinois,IL,S,S4IL00172,,M. Blair,Hull,"Hull, M. Blair",,D,"134,453",10.82%,,,,,,,
1117,Illinois,IL,S,S4IL00347,,Maria ,Pappas,"Pappas, Maria ",,D,"74,987",6.03%,,,,,,,
1118,Illinois,IL,S,S4IL00164,,Gery,Chico,"Chico, Gery",,D,"53,433",4.30%,,,,,,,
1119,Illinois,IL,S,S4IL00255,,Nancy ,Skinner,"Skinner, Nancy ",,D,"16,098",1.30%,,,,,,,
1120,Illinois,IL,S,S4IL00198,,Joyce,Washington,"Washington, Joyce",,D,"13,375",1.08%,,,,,,,
1121,Illinois,IL,S,,,Estella Johnson,Hunt,"Hunt, Estella Johnson",,W(D),10,0.00%,,,,,,,
1122,Illinois,IL,S,,,,,,Party Votes:,D,"1,242,996",,,,,,,,
1123,Illinois,IL,S,S4IL00404,,Alan,Keyes,"Keyes, Alan",,R,*,,,,"1,390,690",27.05%,,,7
1124,Illinois,IL,S,S4IL00230,,Jack,Ryan,"Ryan, Jack",,R,"234,791",35.48%,,,,,,,
1125,Illinois,IL,S,S2IL00119,,Jim,Oberweis ,"Oberweis, Jim",,R,"155,794",23.54%,,,,,,,
1126,Illinois,IL,S,S4IL00263,,Steven J.,Rauschenberger,"Rauschenberger, Steven J.",,R,"132,655",20.04%,,,,,,,
1127,Illinois,IL,S,S4IL00222,,Andy,McKenna,"McKenna, Andy",,R,"97,238",14.69%,,,,,,,
1128,Illinois,IL,S,S4IL00354,,Jonathan C.,Wright,"Wright, Jonathan C.",,R,"17,189",2.60%,,,,,,,
1129,Illinois,IL,S,S4IL00297,,John,Borling,"Borling, John",,R,"13,390",2.02%,,,,,,,
1130,Illinois,IL,S,S4IL00305,,Norm,Hill,"Hill, Norm",,R,"5,637",0.85%,,,,,,,
1131,Illinois,IL,S,S4IL00271,,Chirinjeev,Kathuria,"Kathuria, Chirinjeev",,R,"5,110",0.77%,,,,,,,
1132,Illinois,IL,S,,,,,,Party Votes:,R,"661,804",,,,,,,,
1133,Illinois,IL,S,S4IL00370,,Albert J.,Franzen,"Franzen, Albert J.",,I,,,,,"81,164",1.58%,,,
1134,Illinois,IL,S,S4IL00412,,Jerry,Kohn,"Kohn, Jerry",,LBT,,,,,"69,253",1.35%,,,
1135,Illinois,IL,S,,,Bill,Kuhnke,"Kuhnke, Bill",,W,,,,,"2,268",0.04%,,,
1136,Illinois,IL,S,,,Scott,Doody,"Doody, Scott",,W,,,,,339,0.01%,,,
1137,Illinois,IL,S,,,Donald,McArthur-Self,"McArthur-Self, Donald",,W,,,,,134,0.00%,,,
1138,Illinois,IL,S,,,Kathy,Campbell,"Campbell, Kathy",,W ,,,,,129,0.00%,,,
1139,Illinois,IL,S,,,Shaun L.,Bill,"Bill, Shaun L.",,W,,,,,37,0.00%,,,
1140,Illinois,IL,S,,,Marcus,Hester,"Hester, Marcus",,W,,,,,23,0.00%,,,
1141,Illinois,IL,S,,,Tom,Carlson,"Carlson, Tom",,W,,,,,20,0.00%,,,
1142,Illinois,IL,S,,,Orlando,McDowell,"McDowell, Orlando",,W,,,,,5,0.00%,,,
1143,Illinois,IL,S,,,Arthur C.,Brumfield,"Brumfield, Arthur C.",,W,,,,,1,0.00%,,,
1144,Illinois,IL,S,,,Lowell,Seida,"Seida, Lowell",,W,,,,,1,0.00%,,,
1145,Illinois,IL,S,,,,,,Senate Votes:,,"1,904,800",,,,"5,141,520",,,,
1146,Illinois,IL,,,,,,,Total State Votes:,,"3,479,155",,,,"10,130,185",,,,
1147,Indiana,IN,1,H4IN01012,(I),Peter J.,Visclosky,"Visclosky, Peter J.",,D,"45,141",100.00%,,,"178,406",68.29%,,,
1148,Indiana,IN,1,,,,,,Party Votes:,D,"45,141",,,,,,,,
1149,Indiana,IN,1,H8IN01096,,Mark J.,Leyva,"Leyva, Mark J.",,R,"9,529",44.66%,,,"82,858",31.71%,,,
1150,Indiana,IN,1,H4IN01145,,Frank E.,Kendrick,"Kendrick, Frank E.",,R,"9,113",42.71%,,,,,,,
1151,Indiana,IN,1,H2IN01065,,Cyril B. (Cy),Huerter,"Huerter, Cyril B. (Cy)",,R,"2,696",12.63%,,,,,,,
1152,Indiana,IN,1,,,,,,Party Votes:,R,"21,338",,,,,,,,
1153,Indiana,IN,1,,,,,,District Votes:,,"66,479",,,,"261,264",,,,
