1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),CANDIDATE NAME (Last),"CANDIDATE NAME (Last, First)",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",FOOTNOTES,,,,,,,,,,,,,,,,,
3150,New York,NY,1,H0NY01129,,Randolph,Altschuler,"Altschuler, Randolph",,,,,Combined Parties:,,,,"97,723",49.82%,,,,,,,,,,,,,,,,,,
3151,New York,NY,1,H0NY01129,,Randolph,Altschuler,"Altschuler, Randolph",,REP,"11,557",45.07%,,,"78,300",39.92%,"97,723",49.82%,,,,,,,,,,,,,,,,,,
3152,New York,NY,1,H0NY01137,,George D.,Demos,"Demos, George D.",,REP,"7,774",30.32%,,,,,,,,,,,,,,,,,,,,,,,,
3153,New York,NY,1,H0NY00063,,Chris,Cox,"Cox, Chris",,REP,"6,312",24.61%,,,,,,,,,,,,,,,,,,,,,,,,
3154,New York,NY,1,n/a,,,,,Party Votes:,REP,"25,643",,,,,,,,,,,,,,,,,,,,,,,,,
3155,New York,NY,1,H0NY01129,,Randolph,Altschuler,"Altschuler, Randolph",,CRV,"1,358",73.41%,,,"19,423",9.90%,"97,723",49.82%,,,,,,,,,,,,,,,,,,
3156,New York,NY,1,H0NY00063,,Chris,Cox,"Cox, Chris",,W(CRV),301,16.27%,,,,,,,,,,,,,,,,,,,,,,,,
3157,New York,NY,1,H0NY01137,,George D.,Demos,"Demos, George D.",,W(CRV),191,10.32%,,,,,,,,,,,,,,,,,,,,,,,,
3158,New York,NY,1,n/a,,,,,Party Votes:,CRV,"1,850",,,,,,,,,,,,,,,,,,,,,,,,,
3159,New York,NY,1,n/a,,,Scattered,Scattered,,W ,,,,,125,0.06%,,,,,,,,,,,,,,,,,,,,
3160,New York,NY,1,n/a,,,,,District Votes:,,"27,493",,,,"196,164",,,,,,,,,,,,,,,,,,,,,
3161,New York,NY,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3162,New York,NY,2,H0NY02085,(I),Steve J.,Israel,"Israel, Steve J.",,,,,Combined Parties:,,,,"94,694",56.33%,,,,,,,,,,,,,,,,,,
3163,New York,NY,2,H0NY02085,(I),Steve J.,Israel,"Israel, Steve J.",,DEM,Unopposed,,,,"84,211",50.10%,"94,694",56.33%,,,,,,,,,,,,,,,,,,
3164,New York,NY,2,H0NY02085,(I),Steve J.,Israel,"Israel, Steve J.",,IDP,Unopposed,,,,"6,353",3.78%,"94,694",56.33%,,,,,,,,,,,,,,,,,,
3165,New York,NY,2,H0NY02085,(I),Steve J.,Israel,"Israel, Steve J.",,WF,Unopposed,,,,"4,130",2.46%,"94,694",56.33%,,,,,,,,,,,,,,,,,,
3166,New York,NY,2,H0NY02184,,John B.,Gomez,"Gomez, John B.",,,,,Combined Parties:,,,,"72,115",42.90%,,,,,,,,,,,,,,,,,,
3167,New York,NY,2,H0NY02184,,John B.,Gomez,"Gomez, John B.",,REP,Unopposed,,,,"58,590",34.85%,"72,115",42.90%,,,,,,,,,,,,,,,,,,
3168,New York,NY,2,H0NY02184,,John B.,Gomez,"Gomez, John B.",,CRV,Unopposed,,,,"13,525",8.05%,"72,115",42.90%,,,,,,,,,,,,,,,,,,
3169,New York,NY,2,H0NY02168,,Anthony,Tolda,"Tolda, Anthony",,CON,,,,,"1,258",0.75%,,,,,,,,,,,,,,,,,,,,
3170,New York,NY,2,n/a,,,Scattered,Scattered,,W ,,,,,30,0.02%,,,,,,,,,,,,,,,,,,,,
3171,New York,NY,2,n/a,,,,,District Votes:,,,,,,"168,097",,,,,,,,,,,,,,,,,,,,,
3172,New York,NY,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3173,New York,NY,3,H2NY03089,(I),Peter T.,King,"King, Peter T.",,,,,Combined Parties:,,,,"131,674",71.92%,,,,,,,,,,,,,,,,,,
3174,New York,NY,3,H2NY03089,(I),Peter T.,King,"King, Peter T.",,REP,"21,915",90.76%,,,"109,039",59.56%,"131,674",71.92%,,,,,,,,,,,,,,,,,,
3175,New York,NY,3,H8NY03045,,Robert,Previdi,"Previdi, Robert",,REP,"2,231",9.24%,,,,,,,,,,,,,,,,,,,,,,,,
3176,New York,NY,3,n/a,,,,,Party Votes:,REP,"24,146",,,,,,,,,,,,,,,,,,,,,,,,,
3177,New York,NY,3,H2NY03089,(I),Peter T.,King,"King, Peter T.",,CRV,Unopposed,,,,"15,192",8.30%,"131,674",71.92%,,,,,,,,,,,,,,,,,,
3178,New York,NY,3,H2NY03089,(I),Peter T.,King,"King, Peter T.",,IDP,Unopposed,,,,"7,443",4.07%,"131,674",71.92%,,,,,,,,,,,,,,,,,,
3179,New York,NY,3,H2NY03089,(I),Peter T.,King,"King, Peter T.",,TRP,,,,,0,0.00%,"131,674",71.92%,,,,,,,,,,,,,,,,,,
3180,New York,NY,3,H0NY03042,,Howard A.,Kudler,"Kudler, Howard A.",,DEM,Unopposed,,,,"51,346",28.04%,,,,,,,,,,,,,,,,,,,,
3181,New York,NY,3,n/a,,,Scattered,Scattered,,W ,,,,,67,0.04%,,,,,,,,,,,,,,,,,,,,
3182,New York,NY,3,n/a,,,,,District Votes:,,"24,146",,,,"183,087",,,,,,,,,,,,,,,,,,,,,
3183,New York,NY,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3184,New York,NY,4,H6NY04112,(I),Carolyn,McCarthy,"McCarthy, Carolyn",,,,,Combined Parties:,,,,"94,483",53.61%,,,,,,,,,,,,,,,,,,
3185,New York,NY,4,H6NY04112,(I),Carolyn,McCarthy,"McCarthy, Carolyn",,DEM,Unopposed,,,,"89,743",50.92%,"94,483",53.61%,,,,,,,,,,,,,,,,,,
3186,New York,NY,4,H6NY04112,(I),Carolyn,McCarthy,"McCarthy, Carolyn",,WF,Unopposed,,,,"4,740",2.69%,"94,483",53.61%,,,,,,,,,,,,,,,,,,
3187,New York,NY,4,H0NY04099,,"Francis X., Jr.",Becker,"Becker, Francis X., Jr.",,,,,Combined Parties:,,,,"81,718",46.36%,,,,,,,,,,,,,,,,,,
3188,New York,NY,4,H0NY04099,,"Francis X., Jr.",Becker,"Becker, Francis X., Jr.",,REP,"11,194",49.44%,,,"69,323",39.33%,"81,718",46.36%,,,,,,,,,,,,,,,,,,
3189,New York,NY,4,H0NY04057,,Frank J.,Scaturro,"Scaturro, Frank J.",,REP,"8,241",36.40%,,,,,,,,,,,,,,,,,,,,,,,,
3190,New York,NY,4,H0NY04107,,Daniel P.,Maloney,"Maloney, Daniel P.",,REP,"3,192",14.10%,,,,,,,,,,,,,,,,,,,,,,,,
3191,New York,NY,4,n/a,,,Scattered,Scattered,,W(REP),14,0.06%,,,,,,,,,,,,,,,,,,,,,,,,
3192,New York,NY,4,n/a,,,,,Party Votes:,REP,"22,641",,,,,,,,,,,,,,,,,,,,,,,,,
3193,New York,NY,4,H0NY04099,,"Francis X., Jr.",Becker,"Becker, Francis X., Jr.",,CRV,Unopposed,,,,"9,455",5.36%,"81,718",46.36%,,,,,,,,,,,,,,,,,,
3194,New York,NY,4,H0NY04099,,"Francis X., Jr.",Becker,"Becker, Francis X., Jr.",,IDP,Unopposed,,,,"2,940",1.67%,"81,718",46.36%,,,,,,,,,,,,,,,,,,
3195,New York,NY,4,H0NY04099,,"Francis X., Jr.",Becker,"Becker, Francis X., Jr.",,TRP,,,,,0,0.00%,"81,718",46.36%,,,,,,,,,,,,,,,,,,
3196,New York,NY,4,n/a,,,Scattered,Scattered,,W,,,,,52,0.03%,,,,,,,,,,,,,,,,,,,,
3197,New York,NY,4,n/a,,,,,District Votes:,,"22,641",,,,"176,253",,,,,,,,,,,,,,,,,,,,,
3198,New York,NY,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3199,New York,NY,5,H4NY07011,(I),Gary L.,Ackerman,"Ackerman, Gary L.",,,,,Combined Parties:,,,,"72,239",63.05%,,,,,,,,,,,,,,,,,,
3200,New York,NY,5,H4NY07011,(I),Gary L.,Ackerman,"Ackerman, Gary L.",,DEM,"19,394",75.60%,,,"66,564",58.09%,"72,239",63.05%,,,,,,,,,,,,,,,,,,
3201,New York,NY,5,H0NY05070,,Patricia M.,Maher,"Maher, Patricia M.",,DEM,"6,258",24.40%,,,,,,,,,,,,,,,,,,,,,,,,
3202,New York,NY,5,n/a,,,,,Party Votes:,DEM,"25,652",,,,,,,,,,,,,,,,,,,,,,,,,
3203,New York,NY,5,H4NY07011,(I),Gary L.,Ackerman,"Ackerman, Gary L.",,WF,Unopposed,,,,"3,323",2.90%,"72,239",63.05%,,,,,,,,,,,,,,,,,,
3204,New York,NY,5,H4NY07011,(I),Gary L.,Ackerman,"Ackerman, Gary L.",,IDP,Unopposed,,,,"2,352",2.05%,"72,239",63.05%,,,,,,,,,,,,,,,,,,
3205,New York,NY,5,H0NY05062,,James,Milano,"Milano, James",,,,,Combined Parties:,,,,"41,493",36.21%,,,,,,,,,,,,,,,,,,
3206,New York,NY,5,H0NY05062,,James,Milano,"Milano, James",,REP,"4,489",61.07%,,,"36,861",32.17%,"41,493",36.21%,,,,,,,,,,,,,,,,,,
3207,New York,NY,5,H8NY05099,,Elizabeth,Berney,"Berney, Elizabeth",,REP/TRP,"2,862",38.93%,,,798,0.70%,,,,,,,,,,,,,,,,,,,,
3208,New York,NY,5,n/a,,,,,Party Votes:,REP,"7,351",,,,,,,,,,,,,,,,,,,,,,,,,
3209,New York,NY,5,H0NY05062,,James,Milano,"Milano, James",,CRV,Unopposed,,,,"4,632",4.04%,"41,493",36.21%,,,,,,,,,,,,,,,,,,
3210,New York,NY,5,n/a,,,Scattered,Scattered,,W ,,,,,53,0.05%,,,,,,,,,,,,,,,,,,,,
3211,New York,NY,5,n/a,,,,,District Votes:,,"33,003",,,,"114,583",,,,,,,,,,,,,,,,,,,,,
3212,New York,NY,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3213,New York,NY,6,H8NY06048,(I),Gregory W.,Meeks,"Meeks, Gregory W.",,DEM,Unopposed,,,,"85,096",87.73%,,,,,,,,,,,,,,,,,,,,
3214,New York,NY,6,H0NY06045,,Asher E.,Taub,"Taub, Asher E.",,,,,Combined Parties:,,,,"11,826",12.19%,,,,,,,,,,,,,,,,,,
3215,New York,NY,6,H0NY06045,,Asher E.,Taub,"Taub, Asher E.",,REP,Unopposed,,,,"10,057",10.37%,"11,826",12.19%,,,,,,,,,,,,,,,,,,
3216,New York,NY,6,H0NY06045,,Asher E.,Taub,"Taub, Asher E.",,CRV,Unopposed,,,,"1,769",1.82%,"11,826",12.19%,,,,,,,,,,,,,,,,,,
3217,New York,NY,6,n/a,,,Scattered,Scattered,,W,,,,,72,0.07%,,,,,,,,,,,,,,,,,,,,
3218,New York,NY,6,n/a,,,,,District Votes:,,,,,,"96,994",,,,,,,,,,,,,,,,,,,,,
3219,New York,NY,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3220,New York,NY,7,H8NY07046,(I),Joseph,Crowley,"Crowley, Joseph",,,,,Combined Parties:,,,,"71,247",80.53%,,,,,,,,,,,,,,,,,,
3221,New York,NY,7,H8NY07046,(I),Joseph,Crowley,"Crowley, Joseph",,DEM,Unopposed,,,,"66,223",74.85%,"71,247",80.53%,,,,,,,,,,,,,,,,,,
3222,New York,NY,7,H8NY07046,(I),Joseph,Crowley,"Crowley, Joseph",,WF,Unopposed,,,,"5,024",5.68%,"71,247",80.53%,,,,,,,,,,,,,,,,,,
3223,New York,NY,7,H0NY07068,,Kenneth A.,Reynolds,"Reynolds, Kenneth A.",,,,,Combined Parties:,,,,"16,145",18.25%,,,,,,,,,,,,,,,,,,
3224,New York,NY,7,H0NY07068,,Kenneth A.,Reynolds,"Reynolds, Kenneth A.",,REP,Unopposed,,,,"13,751",15.54%,"16,145",18.25%,,,,,,,,,,,,,,,,,,
3225,New York,NY,7,H0NY07068,,Kenneth A.,Reynolds,"Reynolds, Kenneth A.",,CRV,Unopposed,,,,"2,394",2.71%,"16,145",18.25%,,,,,,,,,,,,,,,,,,
3226,New York,NY,7,H0NY07076,,Anthony,Gronowicz,"Gronowicz, Anthony",,GRE,,,,,"1,038",1.17%,,,,,,,,,,,,,,,,,,,,
3227,New York,NY,7,n/a,,,Scattered,Scattered,,W ,,,,,41,0.05%,,,,,,,,,,,,,,,,,,,,
3228,New York,NY,7,n/a,,,,,District Votes:,,,,,,"88,471",,,,,,,,,,,,,,,,,,,,,
3229,New York,NY,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3230,New York,NY,8,H2NY17071,(I),Jerrold L.,Nadler,"Nadler, Jerrold L.",,,,,Combined Parties:,,,,"98,839",75.49%,,,,,,,,,,,,,,,,,,
3231,New York,NY,8,H2NY17071,(I),Jerrold L.,Nadler,"Nadler, Jerrold L.",,DEM,Unopposed,,,,"88,758",67.79%,"98,839",75.49%,,,,,,,,,,,,,,,,,,
3232,New York,NY,8,H2NY17071,(I),Jerrold L.,Nadler,"Nadler, Jerrold L.",,WF,Unopposed,,,,"10,081",7.70%,"98,839",75.49%,,,,,,,,,,,,,,,,,,
3233,New York,NY,8,H0NY08082,,Susan L.,Kone,"Kone, Susan L.",,,,,Combined Parties:,,,,"31,996",24.44%,,,,,,,,,,,,,,,,,,
3234,New York,NY,8,H0NY08082,,Susan L.,Kone,"Kone, Susan L.",,REP,Unopposed,,,,"29,514",22.54%,"31,996",24.44%,,,,,,,,,,,,,,,,,,
3235,New York,NY,8,H0NY08082,,Susan L.,Kone,"Kone, Susan L.",,CRV,Unopposed,,,,"2,482",1.90%,"31,996",24.44%,,,,,,,,,,,,,,,,,,
3236,New York,NY,8,n/a,,,Scattered,Scattered,,W ,,,,,93,0.07%,,,,,,,,,,,,,,,,,,,,
3237,New York,NY,8,n/a,,,,,District Votes:,,,,,,"130,928",,,,,,,,,,,,,,,,,,,,,
3238,New York,NY,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3239,New York,NY,9,H8NY09091,(I),Anthony D.,Weiner,"Weiner, Anthony D.",,,,,Combined Parties:,,,,"67,011",60.81%,,,,,,,,,,,,,,,,,,
3240,New York,NY,9,H8NY09091,(I),Anthony D.,Weiner,"Weiner, Anthony D.",,DEM,Unopposed,,,,"60,879",55.24%,"67,011",60.81%,,,,,,,,,,,,,,,,,,
3241,New York,NY,9,H8NY09091,(I),Anthony D.,Weiner,"Weiner, Anthony D.",,WF,Unopposed,,,,"3,332",3.02%,"67,011",60.81%,,,,,,,,,,,,,,,,,,
3242,New York,NY,9,H8NY09091,(I),Anthony D.,Weiner,"Weiner, Anthony D.",,IDP,Unopposed,,,,"2,800",2.54%,"67,011",60.81%,,,,,,,,,,,,,,,,,,
3243,New York,NY,9,H0NY09072,,Robert L.,Turner,"Turner, Robert L.",,,,,Combined Parties:,,,,"43,129",39.14%,,,,,,,,,,,,,,,,,,
3244,New York,NY,9,H0NY09072,,Robert L.,Turner,"Turner, Robert L.",,REP,Unopposed,,,,"37,750",34.25%,"43,129",39.14%,,,,,,,,,,,,,,,,,,
3245,New York,NY,9,H0NY09072,,Robert L.,Turner,"Turner, Robert L.",,CRV,Unopposed,,,,"5,379",4.88%,"43,129",39.14%,,,,,,,,,,,,,,,,,,
3246,New York,NY,9,n/a,,,Scattered,Scattered,,W ,,,,,65,0.06%,,,,,,,,,,,,,,,,,,,,
3247,New York,NY,9,n/a,,,,,District Votes:,,,,,,"110,205",,,,,,,,,,,,,,,,,,,,,
3248,New York,NY,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3249,New York,NY,10,H2NY11017,(I),Edolphus,Towns,"Towns, Edolphus",,DEM,"21,846",69.10%,,,"95,485",91.08%,,,,,,,,,,,,,,,,,,,,
3250,New York,NY,10,H6NY10093,,Kevin,Powell,"Powell, Kevin",,DEM,"9,733",30.79%,,,,,,,,,,,,,,,,,,,,,,,,
3251,New York,NY,10,n/a,,,Scattered,Scattered,,W(DEM),34,0.11%,,,,,,,,,,,,,,,,,,,,,,,,
3252,New York,NY,10,n/a,,,,,Party Votes:,DEM,"31,613",,,,,,,,,,,,,,,,,,,,,,,,,
3253,New York,NY,10,H0NY10054,,Diana,Muniz,"Muniz, Diana",,REP,Unopposed,,,,"7,419",7.08%,,,,,,,,,,,,,,,,,,,,
3254,New York,NY,10,H0NY11037,,Ernest,Johnson,"Johnson, Ernest",,CRV,Unopposed,,,,"1,853",1.77%,,,,,,,,,,,,,,,,,,,,
3255,New York,NY,10,n/a,,,Scattered,Scattered,,W,,,,,82,0.08%,,,,,,,,,,,,,,,,,,,,
3256,New York,NY,10,n/a,,,,,District Votes:,,"31,613",,,,"104,839",,,,,,,,,,,,,,,,,,,,,
3257,New York,NY,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3258,New York,NY,11,H4NY11138,(I),Yvette D.,Clarke,"Clarke, Yvette D.",,,,,Combined Parties:,,,,"104,297",90.54%,,,,,,,,,,,,,,,,,,
3259,New York,NY,11,H4NY11138,(I),Yvette D.,Clarke,"Clarke, Yvette D.",,DEM,Unopposed,,,,"89,973",78.10%,"104,297",90.54%,,,,,,,,,,,,,,,,,,
3260,New York,NY,11,H4NY11138,(I),Yvette D.,Clarke,"Clarke, Yvette D.",,WF,Unopposed,,,,"14,324",12.43%,"104,297",90.54%,,,,,,,,,,,,,,,,,,
3261,New York,NY,11,H8NY11055,,Hugh C.,Carr,"Carr, Hugh C.",,,,,Combined Parties:,,,,"10,858",9.43%,,,,,,,,,,,,,,,,,,
3262,New York,NY,11,H8NY11055,,Hugh C.,Carr,"Carr, Hugh C.",,REP,Unopposed,,,,"9,119",7.92%,"10,858",9.43%,,,,,,,,,,,,,,,,,,
3263,New York,NY,11,H8NY11055,,Hugh C.,Carr,"Carr, Hugh C.",,CRV,Unopposed,,,,"1,739",1.51%,"10,858",9.43%,,,,,,,,,,,,,,,,,,
3264,New York,NY,11,n/a,,,Scattered,Scattered,,W ,,,,,44,0.04%,,,,,,,,,,,,,,,,,,,,
3265,New York,NY,11,n/a,,,,,District Votes:,,,,,,"115,199",,,,,,,,,,,,,,,,,,,,,
3266,New York,NY,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3267,New York,NY,12,H2NY00010,(I),Nydia M.,Velazquez,"Velazquez, Nydia M.",,,,,Combined Parties:,,,,"68,624",93.79%,,,,,,,,,,,,,,,,,,
3268,New York,NY,12,H2NY00010,(I),Nydia M.,Velazquez,"Velazquez, Nydia M.",,DEM,Unopposed,,,,"60,586",82.81%,"68,624",93.79%,,,,,,,,,,,,,,,,,,
3269,New York,NY,12,H2NY00010,(I),Nydia M.,Velazquez,"Velazquez, Nydia M.",,WF,Unopposed,,,,"8,038",10.99%,"68,624",93.79%,,,,,,,,,,,,,,,,,,
3270,New York,NY,12,H0NY12167,,Alice,Gaffney,"Gaffney, Alice",,CRV,Unopposed,,,,"4,482",6.13%,,,,,,,,,,,,,,,,,,,,
3271,New York,NY,12,n/a,,,Scattered,Scattered,,W ,,,,,59,0.08%,,,,,,,,,,,,,,,,,,,,
3272,New York,NY,12,n/a,,,,,District Votes:,,,,,,"73,165",,,,,,,,,,,,,,,,,,,,,
3273,New York,NY,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3274,New York,NY,13,H0NY13074,,Michael G.,Grimm,"Grimm, Michael G.",,,,,Combined Parties:,,,,"65,024",51.28%,,,,,,,,,,,,,,,,,,
3275,New York,NY,13,H0NY13074,,Michael G.,Grimm,"Grimm, Michael G.",,CRV,Unopposed,,,,"9,203",7.26%,"65,024",51.28%,,,,,,,,,,,,,,,,,,
3276,New York,NY,13,H0NY13074,,Michael G.,Grimm,"Grimm, Michael G.",,REP,"9,631",68.22%,,,"55,821",44.02%,"65,024",51.28%,,,,,,,,,,,,,,,,,,
3277,New York,NY,13,H0NY13066,,Michael A. ,Allegretti,"Allegretti, Michael A. ",,REP,"4,476",31.71%,,,,,,,,,,,,,,,,,,,,,,,,
3278,New York,NY,13,n/a,,,Scattered,Scattered,,W(REP),10,0.07%,,,,,,,,,,,,,,,,,,,,,,,,
3279,New York,NY,13,n/a,,,,,Party Votes:,REP,"14,117",,,,,,,,,,,,,,,,,,,,,,,,,
3280,New York,NY,13,H8NY13077,(I),Michael E.,McMahon,"McMahon, Michael E.",,,,,Combined Parties:,,,,"60,773",47.93%,,,,,,,,,,,,,,,,,,
3281,New York,NY,13,H8NY13077,(I),Michael E.,McMahon,"McMahon, Michael E.",,DEM,Unopposed,,,,"56,412",44.49%,"60,773",47.93%,,,,,,,,,,,,,,,,,,
3282,New York,NY,13,H8NY13077,(I),Michael E.,McMahon,"McMahon, Michael E.",,IDP,Unopposed,,,,"4,361",3.44%,"60,773",47.93%,,,,,,,,,,,,,,,,,,
3283,New York,NY,13,H0NY13090,,Tom,Vendittelli,"Vendittelli, Tom",,LIB,,,,,929,0.73%,,,,,,,,,,,,,,,,,,,,
3284,New York,NY,13,n/a,,,Scattered,Scattered,,W,,,,,72,0.06%,,,,,,,,,,,,,,,,,,,,
3285,New York,NY,13,n/a,,,,,District Votes:,,"14,117",,,,"126,798",,,,,,,,,,,,,,,,,,,,,
3286,New York,NY,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3287,New York,NY,14,H2NY14037,(I),Carolyn B.,Maloney,"Maloney, Carolyn B.",,,,,Combined Parties:,,,,"107,327",75.03%,,,,,,,,,,,,,,,,,,
3288,New York,NY,14,H2NY14037,(I),Carolyn B.,Maloney,"Maloney, Carolyn B.",,WF,Unopposed,,,,"8,374",5.85%,"107,327",75.03%,,,,,,,,,,,,,,,,,,
3289,New York,NY,14,H2NY14037,(I),Carolyn B.,Maloney,"Maloney, Carolyn B.",,DEM,"33,499",82.77%,,,"98,953",69.18%,"107,327",75.03%,,,,,,,,,,,,,,,,,,
3290,New York,NY,14,H0NY14189,,Reshma M.,Saujani,"Saujani, Reshma M.",,DEM,"6,799",16.80%,,,,,,,,,,,,,,,,,,,,,,,,
3291,New York,NY,14,n/a,,,Scattered,Scattered,,W(DEM),176,0.43%,,,,,,,,,,,,,,,,,,,,,,,,
3292,New York,NY,14,n/a,,,,,Party Votes:,DEM,"40,474",,,,,,,,,,,,,,,,,,,,,,,,,
3293,New York,NY,14,H0NY14205,,David Ryan,Brumberg,"Brumberg, David Ryan",,REP,"4,107",62.48%,,,"32,065",22.42%,,,,,,,,,,,,,,,,,,,,
3294,New York,NY,14,H0NY14197,,Dino L.,LaVerghetta,"LaVerghetta, Dino L.",,REP,"1,754",26.68%,,,,,,,,,,,,,,,,,,,,,,,,
3295,New York,NY,14,H0NY14213,,Roger S.,Blank,"Blank, Roger S.",,REP,680,10.35%,,,,,,,,,,,,,,,,,,,,,,,,
3296,New York,NY,14,n/a,,,Scattered,Scattered,,W(REP),32,0.49%,,,,,,,,,,,,,,,,,,,,,,,,
3297,New York,NY,14,n/a,,,,,Party Votes:,REP,"6,573",,,,,,,,,,,,,,,,,,,,,,,,,
3298,New York,NY,14,H0NY14221,,Timothy J.,Healy,"Healy, Timothy J.",,CRV,Unopposed,,,,"1,891",1.32%,,,,,,,,,,,,,,,,,,,,
3299,New York,NY,14,H0NY14197,,Dino L.,LaVerghetta,"LaVerghetta, Dino L.",,IDP,Unopposed,,,,"1,617",1.13%,,,,,,,,,,,,,,,,,,,,
3300,New York,NY,14,n/a,,,Scattered,Scattered,,W ,,,,,142,0.10%,,,,,,,,,,,,,,,,,,,,
3301,New York,NY,14,n/a,,,,,District Votes:,,"47,047",,,,"143,042",,,,,,,,,,,,,,,,,,,,,
3302,New York,NY,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3303,New York,NY,15,H6NY19029,(I),Charles B.,Rangel,"Rangel, Charles B.",,,,,Combined Parties:,,,,"91,225",80.24%,,,,,,,,,,,,,,,,,,
3304,New York,NY,15,H6NY19029,(I),Charles B.,Rangel,"Rangel, Charles B.",,DEM,"26,101",51.11%,,,"83,633",73.56%,"91,225",80.24%,,,,,,,,,,,,,,,,,,
3305,New York,NY,15,H4NY15071,,Adam Clayton,Powell,"Powell, Adam Clayton",,DEM,"11,834",23.17%,,,,,,,,,,,,,,,,,,,,,,,,
3306,New York,NY,15,H0NY15129,,Joyce S.,Johnson,"Johnson, Joyce S.",,DEM,"6,444",12.62%,,,,,,,,,,,,,,,,,,,,,,,,
3307,New York,NY,15,H6NY15118,,Ruben D.,Vargas,"Vargas, Ruben D.",,DEM,"2,703",5.29%,,,,,,,,,,,,,,,,,,,,,,,,
3308,New York,NY,15,H0NY15137,,Jonathan,Tasini,"Tasini, Jonathan",,DEM,"2,634",5.16%,,,,,,,,,,,,,,,,,,,,,,,,
3309,New York,NY,15,H0NY15103,,Vincent S.,Morgan,"Morgan, Vincent S.",,DEM,"1,210",2.37%,,,,,,,,,,,,,,,,,,,,,,,,
3310,New York,NY,15,n/a,,,Scattered,Scattered,,W(DEM),142,0.28%,,,,,,,,,,,,,,,,,,,,,,,,
3311,New York,NY,15,n/a,,,,,Party Votes:,DEM,"51,068",,,,,,,,,,,,,,,,,,,,,,,,,
3312,New York,NY,15,H6NY19029,(I),Charles B.,Rangel,"Rangel, Charles B.",,WF,Unopposed,,,,"7,592",6.68%,"91,225",80.24%,,,,,,,,,,,,,,,,,,
3313,New York,NY,15,H0NY15111,,Michel J.,Faulkner,"Faulkner, Michel J.",,,,,Combined Parties:,,,,"11,754",10.34%,,,,,,,,,,,,,,,,,,
3314,New York,NY,15,H0NY15111,,Michel J.,Faulkner,"Faulkner, Michel J.",,REP,Unopposed,,,,"10,678",9.39%,"11,754",10.34%,,,,,,,,,,,,,,,,,,
3315,New York,NY,15,H0NY15111,,Michel J.,Faulkner,"Faulkner, Michel J.",,CRV,Unopposed,,,,"1,076",0.95%,"11,754",10.34%,,,,,,,,,,,,,,,,,,
3316,New York,NY,15,H0NY15111,,Michel J.,Faulkner,"Faulkner, Michel J.",,JNP,,,,,0,0.00%,"11,754",10.34%,,,,,,,,,,,,,,,,,,
3317,New York,NY,15,H8NY15122,,Craig,Schley,"Schley, Craig",,,,,Combined Parties:,,,,"7,803",6.86%,,,,,,,,,,,,,,,,,,
3318,New York,NY,15,H8NY15122,,Craig,Schley,"Schley, Craig",,IDP,Unopposed,,,,"6,865",6.04%,"7,803",6.86%,,,,,,,,,,,,,,,,,,
3319,New York,NY,15,H8NY15122,,Craig,Schley,"Schley, Craig",,VPC,,,,,938,0.83%,"7,803",6.86%,,,,,,,,,,,,,,,,,,
3320,New York,NY,15,H0NY15145,,Roger,Calero,"Calero, Roger",,SWP,,,,,"2,647",2.33%,,,,,,,,,,,,,,,,,,,,
3321,New York,NY,15,n/a,,,Scattered,Scattered,,W ,,,,,257,0.23%,,,,,,,,,,,,,,,,,,,,
3322,New York,NY,15,n/a,,,,,District Votes:,,"51,068",,,,"113,686",,,,,,,,,,,,,,,,,,,,,
3323,New York,NY,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3324,New York,NY,16,H0NY18065,(I),Jose E.,Serrano,"Serrano, Jose E.",,,,,Combined Parties:,,,,"61,642",95.66%,,,,,,,,,,,,,,,,,,
3325,New York,NY,16,H0NY18065,(I),Jose E.,Serrano,"Serrano, Jose E.",,DEM,Unopposed,,,,"58,478",90.75%,"61,642",95.66%,,,,,,,,,,,,,,,,,,
