FEC ID,STATE,DISTRICT,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,PRIMARY RESULTS,PRIMARY %,RUNOFF RESULTS,RUNOFF %,GENERAL RESULTS,GENERAL %,GENERAL RUNOFF RESULTS,GENERAL RUNOFF %,INCUMBENT INDICATOR,NOTES (See Endnotes Page)
,FL,06,,,   ,Total Party Votes:,D,"49,695",,,,,,,,,
,FL,06,,,   ,Total District Votes:,,"49,695",,,,"216,616",,,,,
H2FL08055,FL,07,John L.,Mica,"Mica, John L.",,R,Unopposed,,,,"142,147",59.58%,,,(I),
H2FL07107,FL,07,Wayne,Hogan,"Hogan, Wayne",,D,Unopposed,,,,"96,444",40.42%,,,,
,FL,07,,,   ,Total District Votes:,,,,,,"238,591",,,,,
H0FL08042,FL,08,Ric,Keller,"Keller, Ric",,R,Unopposed,,,,"123,497",65.14%,,,(I),
H2FL00276,FL,08,Eddie,Diaz,"Diaz, Eddie",,D,Unopposed,,,,"66,099",34.86%,,,,
,FL,08,,,   ,Total District Votes:,,,,,,"189,596",,,,,
H2FL09012,FL,09,Michael,Bilirakis,"Bilirakis, Michael",,R,Unopposed,,,,"169,369",71.46%,,,(I),
H2FL09079,FL,09,Chuck,Kalogianis,"Kalogianis, Chuck",,D,Unopposed,,,,"67,623",28.53%,,,,
H2FL09095,FL,09,Andrew,Pasayan,"Pasayan, Andrew",,W,,,,,16,0.01%,,,,
,FL,09,,,   ,Total District Votes:,,,,,,"237,008",,,,,
H6FL06035,FL,10,C.W. Bill,Young,"Young, C.W. Bill",,R,Unopposed,,,,Unopposed,,,,(I),
H6FL00087,FL,11,Jim,Davis,"Davis, Jim",,D,Unopposed,,,,Unopposed,,,,(I),
H0FL12051,FL,12,Adam H.,Putnam,"Putnam, Adam H.",,R,Unopposed,,,,Unopposed,,,,(I),
H2FL13113,FL,13,Katherine,Harris,"Harris, Katherine",,R,"47,761",68.32%,,,"139,048",54.78%,,,,
H2FL13154,FL,13,John C.,Hill,"Hill, John C.",,R,"22,144",31.68%,,,,,,,,
,FL,13,,,   ,Total Party Votes:,R,"69,905",,,,,,,,,
H2FL13139,FL,13,Jan,Schneider,"Schneider, Jan",,D,"20,205",44.45%,,,"114,739",45.21%,,,,
H2FL13105,FL,13,Charles S.,"McKenzie, Jr.","McKenzie, Charles S., Jr.",,D,"10,728",23.60%,,,,,,,,
H2FL13121,FL,13,Candice,Brown-McElyea,"Brown-McElyea, Candice",,D,"9,754",21.46%,,,,,,,,
H2FL13162,FL,13,Patrick J.,Feheley,"Feheley, Patrick J.",,D,"4,771",10.50%,,,,,,,,
,FL,13,,,   ,Total Party Votes:,D,"45,458",,,,,,,,,
H2FL13170,FL,13,Wayne,Genthner,"Genthner, Wayne",,W,,,,,22,0.01%,,,,
,FL,13,,,   ,Total District Votes:,,"115,363",,,,"253,809",,,,,
H8FL13037,FL,14,Porter,Goss,"Goss, Porter",,R,Unopposed,,,,Unopposed,,,,(I),
H4FL15114,FL,15,Dave,Weldon,"Weldon, Dave",,R,"46,086",83.47%,,,"146,414",63.15%,,,(I),
H0FL15013,FL,15,Gerry L.,Newby,"Newby, Gerry L.",,R,"9,126",16.53%,,,,,,,,
,FL,15,,,   ,Total Party Votes:,R,"55,212",,,,,,,,,
H2FL15050,FL,15,Jim,Tso,"Tso, Jim",,D,Unopposed,,,,"85,433",36.85%,,,,
H2FL15068,FL,15,Donald,Gibbens,"Gibbens, Donald",,W,,,,,10,0.00%,,,,
,FL,15,,,   ,Total District Votes:,,"55,212",,,,"231,857",,,,,
H4FL16021,FL,16,Mark,Foley,"Foley, Mark",,R,Unopposed,,,,"176,171",78.88%,,,(I),
H2FL16074,FL,16,Jack,McLain,"McLain, Jack",,CPF,,,,,"47,169",21.12%,,,,
,FL,16,,,   ,Total District Votes:,,,,,,"223,340",,,,,
H2FL17056,FL,17,Kendrick,Meek,"Meek, Kendrick",,D,Unopposed,,,,"113,749",99.94%,,,,
H2FL17064,FL,17,Michael,Italie,"Italie, Michael",,W,,,,,73,0.06%,,,,
,FL ,17,,,   ,Total District Votes:,,,,,,"113,822",,,,,
H0FL18025,FL,18,Ileana,Ros-Lehtinen,"Ros-Lehtinen, Ileana",,R,"38,885",87.95%,,,"103,512",69.11%,,,(I),
H8FL20016,FL,18,May,Chote,"Chote, May",,R,"5,327",12.05%,,,,,,,,
,FL,18,,,   ,Total Party Votes:,R,"44,212",,,,,,,,,
H2FL18047,FL,18,Ray,Chote,"Chote, Ray",,D,Unopposed,,,,"42,852",28.61%,,,,
H0FL22035,FL,18,Orin,Opperman,"Opperman, Orin",,I,,,,,"3,423",2.29%,,,,
,FL,18,,,   ,Total District Votes:,,"44,212",,,,"149,787",,,,,
H6FL19038,FL,19,Robert,Wexler,"Wexler, Robert",,D,Unopposed,,,,"156,747",72.16%,,,(I),
H2FL19078,FL,19,Jack,Merkl,"Merkl, Jack",,R,Unopposed,,,,"60,477",27.84%,,,,
,FL ,19,,,   ,Total District Votes:,,,,,,"217,224",,,,,
H2FL16041,FL,20,Peter,Deutsch,"Deutsch, Peter",,D,Unopposed,,,,Unopposed,,,,(I),
H2FL19037,FL,21,Lincoln,Diaz-Balart,"Diaz-Balart, Lincoln",,R,Unopposed,,,,Unopposed,,,,(I),
H0FL12010,FL,22,Clay,Shaw,"Shaw, Clay",,R,Unopposed,,,,"131,930",60.77%,,,(I),
H2FL22056,FL,22,Carol A.,Roberts,"Roberts, Carol A.",,D,Unopposed,,,,"83,265",38.35%,,,,
H2FL22049,FL,22,Juan,Xuna,"Xuna, Juan",,I,,,,,"1,902",0.88%,,,,
H2FL22064,FL,22,Stan,Smilan,"Smilan, Stan",,W,,,,,18,0.01%,,,,
,FL,22,,,   ,Total District Votes:,,,,,,"217,115",,,,,
H2FL23021,FL,23,Alcee L.,Hastings,"Hastings, Alcee L.",,D,Unopposed,,,,"96,347",77.49%,,,(I),
H0FL23025,FL,23,Charles,Laurie,"Laurie, Charles",,R,Unopposed,,,,"27,986",22.51%,,,,
H2FL23062,FL,23,B.B.,B.,"B., B.B.",,W,,,,,5,0.00%,,,,
,FL,23,,,   ,Total District Votes:,,,,,,"124,338",,,,,
H2FL00250,FL,24,Tom,Feeney,"Feeney, Tom",,R,Unopposed,,,,"135,576",61.84%,,,,
H2FL24011,FL,24,Harry,Jacobs,"Jacobs, Harry",,D,Unopposed,,,,"83,667",38.16%,,,,
,FL,24,,,   ,Total District Votes:,,,,,,"219,243",,,,,
H2FL25018,FL,25,Mario,Diaz-Balart,"Diaz-Balart, Mario",,R,Unopposed,,,,"81,845",64.65%,,,,
H2FL00268,FL,25,Annie,Betancourt,"Betancourt, Annie",,D,"18,427",70.50%,,,"44,757",35.35%,,,,
H2FL25026,FL,25,Lorna,Virgili,"Virgili, Lorna",,D,"7,709",29.50%,,,,,,,,
,FL,25,,,   ,Total Party Votes:,D,"26,136",,,,,,,,,
,FL,25,,,   ,Total District Votes:,,"26,136",,,,"126,602",,,,,
,FL,,,,   ,Total State Votes:,,"453,834",,,,"3,766,558",,,,,
,GA,,,,   ,,,,,,,,,,,,
S2GA00118,GA,S,Saxby ,Chambliss,"Chambliss, Saxby ",,R,"300,371",61.10%,,,"1,071,352",52.73%,,,,
S2GA00092,GA,S,Bob ,Irvin,"Irvin, Bob ",,R,"132,132",26.88%,,,,,,,,
S2GA00126,GA,S,Robert (Bob),"Brown, Jr.","Brown, Robert (Bob), Jr.",,R,"59,109",12.02%,,,,,,,,
,GA,S,,,   ,Total Party Votes:,R,"491,612",,,,,,,,,
S6GA00127,GA,S,Max,Cleland,"Cleland, Max",,D,"454,733",100.00%,,,"932,422",45.90%,,,(I),
,GA,S,,,   ,Total Party Votes:,D,"454,733",,,,,,,,,
S2GA00134,GA,S,"Claude "Sandy" ""laude """",Thomas,"Thomas, Claude "Sandy" ""homas, ",,LBT,,,,,"27,830",1.37%,,,,
,GA,S,,,   ,Total State Votes:,,"946,345",,,,"2,031,604",,,,,
H2GA01157,GA,01,Jack ,Kingston,"Kingston, Jack ",,R,"30,878",100.00%,,,"103,661",72.14%,,,(I),
,GA,01,,,   ,Total Party Votes:,R,"30,878",,,,,,,,,
H0GA01037,GA,01,Don ,Smart,"Smart, Don ",,D,"21,818",100.00%,,,"40,026",27.86%,,,,
,GA,01,,,   ,Total Party Votes:,D,"21,818", ,,,,,,,,
,GA,01,,,   ,Total District Votes:,,"52,696",,,,"143,687",,,,,
H2GA02031,GA,02,Sanford,Bishop,"Bishop, Sanford",,D,"47,567",100.00%,,,"102,925",100.00%,,,(I),
,GA,02,,,   ,Total Party Votes:,D,"47,567",,,,,,,,,
,GA,02,,,   ,Total District Votes:,,"47,567",,,,"102,925",,,,,
H0GA08032,GA,03,Jim,Marshall,"Marshall, Jim",,D,"26,614",53.58%,,,"75,394",50.51%,,,,
H2GA03096,GA,03,Chuck ,Byrd,"Byrd, Chuck ",,D,"16,542",33.30%,,,,,,,,
H2GA03120,GA,03,Joe N.,Lester,"Lester, Joe N.",,D,"5,663",11.40%,,,,,,,,
H2GA03112,GA,03,Sig ,Dayan,"Dayan, Sig ",,D,851,1.71%,,,,,,,,
,GA,03,,,   ,Total Party Votes:,D,"49,670",,,,,,,,,
H2GA03104,GA,03,Calder B.,"Clay, III","Clay, Calder B., III",,R,"21,149",100.00%,,,"73,866",49.49%,,,,
,GA,03,,,   ,Total Party Votes:,R,"21,149",,,,,,,,,
,GA,03,,,   ,Total District Votes:,,"70,819",,,,"149,260",,,,,
H2GA04110,GA,04,Denise ,Majette,"Majette, Denise ",,D,"68,612",58.31%,,,"118,045",77.03%,,,,
H2GA11016,GA,04,Cynthia ,McKinney,"McKinney, Cynthia ",,D,"49,058",41.69%,,, ,,,,(I),
,GA,04,,,   ,Total Party Votes:,D,"117,670",,,,,,,,,
H2GA04128,GA,04,Cynthia ,Van Auken,"Van Auken, Cynthia ",,R,"2,169",38.77%,"1,292",61.29%,"35,202",22.97%,,,,
H2GA04102,GA,04,Catherine ,Davis,"Davis, Catherine ",,R,"1,910",34.14%,816,38.71%,,,,,,
H2GA04136,GA,04,Barbara Brunner ,Pereira,"Pereira, Barbara Brunner ",,R,"1,515",27.08%,,,,,,,,
,GA,04,,,   ,Total Party Votes:,R,"5,594",,"2,108",,,,,,,
,GA,04,,,   ,Total District Votes:,,"123,264",,"2,108",,"153,247",,,,,
H6GA05217,GA,05,John,Lewis,"Lewis, John",,D,"49,842",100.00%,,,"116,259",100.00%,,,(I),
,GA,05,,,   ,Total Party Votes:,D,"49,842",,,,,,,,,
,GA,05,,,   ,Total District Votes:,,"49,842",,,,"116,259",,,,,
H8GA06146,GA,06,Johnny ,Isakson,"Isakson, Johnny ",,R,"59,186",100.00%,,,"163,525",79.87%,,,(I),
,GA,06,,,   ,Total Party Votes:,R,"59,186",,,,,,,,,
H2GA06081,GA,06,Jeff ,Weisberger,"Weisberger, Jeff ",,D,"11,408",100.00%,,,"41,204",20.13%,,,,
,GA,06,,,   ,Total Party Votes:,D,"11,408",,,,,,,,,
,GA,06,,,   ,Total District Votes:,,"70,594",,,,"204,729",,,,,
H0GA04023,GA,07,John,Linder,"Linder, John",,R,"56,892",64.46%,,,"138,997",78.92%,,,(I),
H4GA07259,GA,07,Bob ,Barr,"Barr, Bob ",,R,"31,374",35.54%,,,,,,,(I),
,GA,07,,,   ,Total Party Votes:,R,"88,266",,,,,,,,,
H2GA07055,GA,07,Michael R.,Berlon,"Berlon, Michael R.",,D,"9,618",100.00%,,,"37,124",21.08%,,,,
,GA,07,,,   ,Total Party Votes:,D,"9,618",,,,,,,,,
,GA,07,,,   ,Total District Votes:,,"97,884",,,,"176,121",,,,,
H2GA03070,GA,08,Mac ,Collins,"Collins, Mac ",,R,"53,691",100.00%,,,"142,505",78.33%,,,(I),
,GA,08,,,   ,Total Party Votes:,R,"53,691",,,,,,,,,
H2GA08053,GA,08,Angelos ,Petrakopoulos,"Petrakopoulos, Angelos ",,D,"16,922",100.00%,,,"39,422",21.67%,,,,
,GA,08,,,   ,Total Party Votes:,D,"16,922",,,,,,,,,
,GA,08,,,   ,Total District Votes:,,"70,613",,,,"181,927",,,,,
H4GA10022,GA,09,Charlie ,Norwood,"Norwood, Charlie ",,R,"42,452",81.68%,,,"123,313",72.84%,,,(I),
H2GA09127,GA,09,Lee ,Dickerson,"Dickerson, Lee ",,R,"9,522",18.32%,,,,,,,,
,GA,09,,,   ,Total Party Votes:,R,"51,974",,,,,,,,,
H2GA09135,GA,09,Barry Gordon ,Irwin,"Irwin, Barry Gordon ",,D,"24,792",100.00%,,,"45,974",27.16%,,,,
,GA,09,,,   ,Total Party Votes:,D,"24,792",,,,,,,,,
,GA,09,,,   ,Total District Votes:,,"76,766",,,,"169,287",,,,,
H2GA09036,GA,10,Nathan ,Deal,"Deal, Nathan ",,R,"43,874",100.00%,,,"129,242",100.00%,,,(I),
,GA,10,,,   ,Total Party Votes:,R,"43,874",,,,,,,,,
,GA,10,,,   ,Total District Votes:,,"43,874",,,,"129,242",,,,,
H2GA11149,GA,11,Phil ,Gingrey,"Gingrey, Phil ",,R,"12,377",40.13%,"9,930",63.56%,"69,427",51.64%,,,,
H2GA11131,GA,11,Cecil ,Staton,"Staton, Cecil ",,R,"9,750",31.61%,"5,692",36.44%,,,,,,
H4GA07242,GA,11,Bob ,Herriott,"Herriott, Bob ",,R,"8,717",28.26%,,,,,,,,
,GA,11,,,   ,Total Party Votes:,R,"30,844",,"15,622",,,,,,,
H0GA07083,GA,11,Roger,Kahn,"Kahn, Roger",,D,"20,410",52.29%,,,"65,007",48.36%,,,,
H4GA07135,GA,11,George W. (Buddy),Darden,"Darden, George W. (Buddy)",,D,"18,623",47.71%,,,,,,,,
,GA,11,,,   ,Total Party Votes:,D,"39,033",,,,,,,,,
,GA,11,,,   ,Total District Votes:,,"69,877",,"15,622",,"134,434",,,,,
H2GA12097,GA,12,Max ,Burns,"Burns, Max ",,R,"13,956",50.46%,,,"77,479",55.19%,,,,
H2GA12089,GA,12,Barbara,Dooley,"Dooley, Barbara",,R,"13,700",49.54%,,,,,,,,
,GA,12,,,   ,Total Party Votes:,R,"27,656",,,,,,,,,
H2GA12030,GA,12,"Charles "Champ"""harles",Walker,"Walker, Charles "Champ"""alker,",,D,"14,011",33.31%,"16,405",54.17%,"62,904",44.81%,,,,
H2GA12048,GA,12,Ben,Allen,"Allen, Ben",,D,"5,703",13.56%,"13,877",45.83%,,,,,,
H2GA06057,GA,12,Tony,Center,"Center, Tony",,D,"5,547",13.19%,,,,,,,,
H2GA12071,GA,12,Merwyn,Scott,"Scott, Merwyn",,D,"4,619",10.98%,,,,,,,,
H2GA10083,GA,12,Chuck ,Pardue,"Pardue, Chuck ",,D,"4,463",10.61%,,,,,,,,
H2GA12022,GA,12,Robert D.,Finch,"Finch, Robert D.",,D,"4,385",10.43%,,,,,,,,
H8GA10023,GA,12,Denise ,Freeman,"Freeman, Denise ",,D,"3,332",7.92%,,,,,,,,
,GA,12,,,   ,Total Party Votes:,D,"42,060",,"30,282",,,,,,,
,GA,12,,,   ,Total District Votes:,,"69,716",,"30,282",,"140,383",,,,,
H2GA13012,GA,13,David ,Scott,"Scott, David ",,D,"22,624",53.81%,,,"70,011",59.63%,,,,
H2GA00019,GA,13,Greg K.,Hecht,"Hecht, Greg K.",,D,"8,384",19.94%,,,,,,,,
H8GA06112,GA,13,David ,Worley,"Worley, David ",,D,"5,568",13.24%,,,,,,,,
H2GA13020,GA,13,Donzella J.,James,"James, Donzella J.",,D,"4,703",11.19%,,,,,,,,
H2GA13046,GA,13,Embry ,Malone,"Malone, Embry ",,D,762,1.81%,,,,,,,,
,GA,13,,,   ,Total Party Votes:,D,"42,041",,,,,,,,,
H2GA11123,GA,13,Clay ,Cox,"Cox, Clay ",,R,"16,543",100.00%,,,"47,405",40.37%,,,,
,GA,13,,,   ,Total Party Votes:,R,"16,543",,,,,,,,,
,GA,13,,,   ,Total District Votes:,,"58,584",,,,"117,416",,,,,
,GA,,,,   ,Total State Votes:,,"902,096",,"48,012",,"1,918,917",,,,,3
,GU,,,,   ,,,,,,,,,,,,
H2GU00033,GU,00,Madeleine Z.,Bordallo,"Bordallo, Madeleine Z.",,D,"17,845",59.10%,,,"27,081",63.60%,,,,
H2GU00041,GU,00,Judi,Won Pat,"Won Pat, Judi",,D,"12,298",40.73%,,,  , ,,,,
,GU,00,,,Scattered ,,W(D),52,0.17%,,,,,,,,
,GU,00,,,   ,Total Party Votes:,D,"30,195",,,,,,,,,
H2GU00058,GU,00,Joseph F.,Ada,"Ada, Joseph F.",,R,"8,230",99.16%,,,"14,836",34.84%,,,,
,GU,00,,,Scattered ,,W(R),70,0.84%,,,,,,,,
,GU,00,,,   ,Total Party Votes:,R,"8,300",,,,,,,,,
,GU,00,,,Scattered ,,W,,,,,662,1.55%,,,,
,GU,,,,   ,Total Votes:,,"38,495",,,,"42,579",,,,,
,HI,,,,   ,,,,,,,,,,,,
H6HI01121,HI,01,Neil ,Abercrombie,"Abercrombie, Neil ",,D,"69,222",100.00%,,,"131,673",72.85%,,,(I),
,HI,01,,,   ,Total Party Votes:,D,"69,222",,,,,,,,,
H2HI01070,HI,01,Mark,Terry,"Terry, Mark",,R,"8,826",38.18%,,,"45,032",24.92%,,,,
H2HI01054,HI,01,Stephen N.,Bischoff,"Bischoff, Stephen N.",,R,"8,065",34.89%,,,,,,,,
H2HI01062,HI,01,Harry J.,Friel,"Friel, Harry J.",,R,"3,957",17.12%,,,,,,,,
H2HI01047,HI,01,Opassi,White,"White, Opassi",,R,"2,266",9.80%,,,,,,,,
,HI,01,,,   ,Total Party Votes:,R,"23,114",,,,,,,,,
H2HI01088,HI,01,James H.,Bracken,"Bracken, James H.",,LBT,148,100.00%,,,"4,028",2.23%,,,,
,HI,01,,,   ,Total Party Votes:,LBT,148,,,,,,,,,
,HI,01,,,   ,Total District Votes:,,"92,484",,,,"180,733",,,,,
H6HI02038,HI,02,Patsy Takemoto,Mink,"Mink, Patsy Takemoto",,D,"67,246",82.59%,,,"100,671",56.16%,,,(I),
H2HI02094,HI,02,Steve,Tataii,"Tataii, Steve",,D,"14,178",17.41%,,,,,,,,
,HI,02,,,   ,Total Party Votes:,D,"81,424",,,,,,,,,
H2HI02102,HI,02,Bob ,McDermott,"McDermott, Bob ",,R,"20,180",71.74%,,,"71,661",39.98%,,,,
H0HI02072,HI,02,James M. (The Ump),Donovan,"Donovan, James M. (The Ump)",,R,"7,948",28.26%,,,,,,,,
,HI,02,,,   ,Total Party Votes:,R,"28,128",,,,,,,,,
H8HI02042 ,HI,02,Jeff,Mallan,"Mallan, Jeff",,LBT,95,57.23%,,,"4,719",2.63%,,,,
H0HI02098,HI,02,Lawrence (Lehr),Duquesne,"Duquesne, Lawrence (Lehr)",,LBT,71,42.77%,,,,,,,,
,HI,02,,,   ,Total Party Votes:,LBT,166,,,,,,,,,
H6HI01162,HI,02,Nicholas ,Bedworth,"Bedworth, Nicholas ",,NL,232,100.00%,,,"2,200",1.23%,,,,
,HI,02,,,   ,Total Party Votes:,NL,232,,,,,,,,,
,HI,02,,,   ,Total District Votes:,,"109,950",,,,"179,251",,,,,
,HI, ,,,   ,Total State Votes:,,"202,434",,,,"359,984",,,,,
,ID,,,,   ,,,,,,,,,,,,
S0ID00057,ID,S,Larry E.,Craig,"Craig, Larry E.",,R,"130,126",100.00%,,,"266,215",65.16%,,,(I),
,ID,S,,,   ,Total Party Votes:,R,"130,126",,,,,,,,,
S2ID00061,ID,S,Alan,Blinken,"Blinken, Alan",,D,"26,346",70.90%,,,"132,975",32.55%,,,,
S2ID00079,ID,S,"D.P. "Dave""".P. """",Sneddon,"Sneddon, D.P. "Dave"""neddo",,D,"10,812",29.10%,,,,,,,,
,ID,S,,,   ,Total Party Votes:,D,"37,158",,,,,,,,,
S2ID00103,ID,S,Donovan,Bramwell,"Bramwell, Donovan",,LBT,"1,179",100.00%,,,"9,354",2.29%,,,,
,ID,S,,,   ,Total Party Votes:,LBT,"1,179",,,,,,,,,
,ID,S,,,   ,Total State Votes:,,"168,463",,,,"408,544",,,,,
H0ID01139,ID,01,"C.L. "Butch""".L. "B""L",Otter,"Otter, C.L. "Butch"""tter, ",,R,"60,352",100.00%,,,"120,743",58.57%,,,(I),
,ID,01,,,   ,Total Party Votes:,R,"60,352",,,,,,,,,
H2ID01085,ID,01,Betty,Richardson,"Richardson, Betty",,D,"17,764",100.00%,,,"80,269",38.94%,,,,
,ID,01,,,   ,Total Party Votes:,D,"17,764",,,,,,,,,
H2ID01093,ID,01,Steve,Gothard,"Gothard, Steve",,LBT,757,100.00%,,,"5,129",2.49%,,,,
,ID,01,,,   ,Total Party Votes:,LBT,757,,,,,,,,,
,ID,01,,,   ,Total District Votes:,,"78,873",,,,"206,141",,,,,
H8ID02064,ID,02,Michael K.,Simpson,"Simpson, Michael K.",,R,"60,092",100.00%,,,"135,605",68.18%,,,(I),
,ID,02,,,   ,Total Party Votes:,R,"60,092",,,,,,,,,
H2ID02117,ID,02,Edward W.,Kinghorn,"Kinghorn, Edward W.",,D,"15,600",100.00%,,,"57,769",29.05%,,,,
,ID,02,,,   ,Total Party Votes:,D,"15,600",,,,,,,,,
H2ID02125,ID,02,Gregory P.,Corron,"Corron, Gregory P.",,LBT,399,100.00%,,,,,,,,
,ID,02,"John H. "Lack"""ohn H",Lewis,"Lewis, John H. "Lack"""ewis,",,LBT, ,,,,"5,508",2.77%,,,,4
,ID,02,,,   ,Total Party Votes:,LBT,399,,,,,,,,,
,ID,02,,,   ,Total District Votes:,,"76,091",,,,"198,882",,,,,
,ID,,,,   ,Total State Votes:,,"154,964",,,,"405,023",,,,,
 ,IL,,,,   ,,,,,,,,,,,,
S6IL00151,IL,S,Richard J.,Durbin,"Durbin, Richard J.",,D,"918,467",100.00%,,,"2,103,766",60.33%,,,(I),
,IL,S,,,   ,Total Party Votes:,D,"918,467",,,,,,,,,
S2IL00127,IL,S,Jim,Durkin,"Durkin, Jim",,R,"378,010",45.81%,,,"1,325,703",38.02%,,,,
S2IL00119,IL,S,James D.,Oberweis,"Oberweis, James D.",,R,"259,515",31.45%,,,,,,,,
S0IL00188,IL,S,John,Cox,"Cox, John",,R,"187,706",22.75%,,,,,,,,
,IL,S,,,   ,Total Party Votes:,R,"825,231",,,,,,,,,
S2IL00135,IL,S,Steven,Burgauer,"Burgauer, Steven",,LBT,,,,,"57,382",1.65%,,,,
,IL,S,,,   ,Total State Votes:,,"1,743,698",,,,"3,486,851",,,,,
H2IL01042,IL,01,Bobby L.,Rush,"Rush, Bobby L.",,D,"111,462",100.00%,,,"149,068",81.17%,,,(I),
,IL,01,,,   ,Total Party Votes:,D,"111,462",,,,,,,,,
H2IL01117,IL,01,Raymond G.,Wardingly,"Wardingly, Raymond G.",,R,"9,430",100.00%,,,"29,776",16.21%,,,,
,IL,01,,,   ,Total Party Votes:,R,"9,430",,,,,,,,,
H2IL01125,IL,01,Dorothy G.,Tsatsos,"Tsatsos, Dorothy G.",,LBT,,,,,"4,812",2.62%,,,,
,IL,01,,,   ,Total District Votes:,,"120,892",,,,"183,656",,,,,
H6IL02124,IL,02,Jesse L.,"Jackson, Jr.","Jackson, Jesse L., Jr.",,D,"100,370",85.33%,,,"151,443",82.30%,,,(I),
H2IL02123,IL,02,Yvonne L.,Christian-Williams,"Christian-Williams, Yvonne L.",,D,"11,757",10.00%,,,,,,,,
H2IL02107,IL,02,Anthony W.,Williams,"Williams, Anthony W.",,D,"5,501",4.68%,,,,,,,,
,IL,02,,,   ,Total Party Votes:,D,"117,628",,,,,,,,,
H2IL02115,IL,02,Doug,Nelson,"Nelson, Doug",,R,"10,494",100.00%,,,"32,567",17.70%,,,,
,IL,02,,,   ,Total Party Votes:,R,"10,494",,,,,,,,,
,IL,02,,,   ,Total District Votes:,,"128,122",,,,"184,010",,,,,
H2IL05019,IL,03,William O.,Lipinski,"Lipinski, William O.",,D,"90,051",100.00%,,,"156,042",100.00%,,,(I),
,IL ,03,,,   ,Total Party Votes:,D,"90,051",,,,,,,,,
,IL,03,,,   ,Total District Votes:,,"90,051",,,,"156,042",,,,,
H2IL08039,IL,04,Luis V.,Gutierrez,"Gutierrez, Luis V.",,D,"38,338",68.22%,,,"67,339",79.68%,,,(I),
H2IL04111,IL,04,Martin R.,Castro,"Castro, Martin R.",,D,"12,008",21.37%,,,,,,,,
H2IL05035,IL,04,John Joseph,Holowinski,"Holowinski, John Joseph",,D,"5,849",10.41%,,,,,,,,
,IL,04,,,   ,Total Party Votes:,D,"56,195",,,,,,,,,
H2IL04129,IL,04,"Anthony J. "Tony"""nthon",Lopez-Cisneros,"Lopez-Cisneros, Anthony J. "Tony"""opez-",,R,"5,721",100.00%,,,"12,778",15.12%,,,,
,IL,04,,,   ,Total Party Votes:,R,"5,721",,,,,,,,,
H8IL01072,IL,04,Maggie,Kohls,"Kohls, Maggie",,LBT,18,72.00%,,,"4,396",5.20%,,,,
H2IL04137,IL,04,Martin ,Pankau,"Pankau, Martin ",,LBT,7,28.00%,,,,,,,,
,IL,04,,,   ,Total Party Votes:,LBT,25,,,,,,,,,
,IL,04,,,   ,Total District Votes:,,"61,941",,,,"84,513",,,,,
H2IL05092,IL,05,Rahm,Emanuel,"Emanuel, Rahm",,D,"46,774",50.50%,,,"106,514",66.81%,,,,
H2IL05076,IL,05,Nancy,Kaszak,"Kaszak, Nancy",,D,"35,716",38.56%,,,,,,,,
H2IL05100,IL,05,Peter,Dagher,"Dagher, Peter",,D,"4,145",4.48%,,,,,,,,
H8IL05032,IL,05,Stanley,Niziolek,"Niziolek, Stanley",,D,"1,698",1.83%,,,,,,,,
H2IL05142,IL,05,Mark A.,Fredrickson,"Fredrickson, Mark A.",,D,"1,202",1.30%,,,,,,,,
H4IL05072,IL,05,Ray (the Angel),Lear,"Lear, Ray (the Angel)",,D,"1,094",1.18%,,,,,,,,
H2IL05159,IL,05,Paul A.,Rauner,"Rauner, Paul A.",,D,"1,043",1.13%,,,,,,,,
H6IL05093,IL,05,Joseph,Slovinec,"Slovinec, Joseph",,D,953,1.03%,,,,,,,,
,IL,05,,,   ,Total Party Votes:,D,"92,625",,,,,,,,,
H2IL05126,IL,05,Mark A.,Augusti,"Augusti, Mark A.",,R,"5,753",40.87%,,,"46,008",28.86%,,,,
H2IL05167,IL,05,William F.,Hurley,"Hurley, William F.",,R,"5,678",40.34%,,,,,,,,
H2IL05134,IL,05,Gene,Urbaszewski,"Urbaszewski, Gene",,R,"2,632",18.70%,,,,,,,,
H2IL00051,IL,05,Gene,Koprowski,"Koprowski, Gene",,W(R),14,0.10%,,,,,,,,
,IL,05,,,   ,Total Party Votes:,R,"14,077",,,,,,,,,
H2IL05175,IL,05,Frank,Gonzalez,"Gonzalez, Frank",,LBT,36,100.00%,,,"6,913",4.34%,,,,
,IL,05,,,   ,Total Party Votes:,LBT,36,,,,,,,,,
,IL,05,,,   ,Total District Votes:,,"106,738",,,,"159,435",,,,,
H6IL06026,IL,06,Henry J.,Hyde,"Hyde, Henry J.",,R,"66,584",100.00%,,,"113,174",65.09%,,,(I),
,IL,06,,,   ,Total Party Votes:,R,"66,584",,,,,,,,,
H4IL06039,IL,06,Tom ,Berry,"Berry, Tom ",,D,"26,791",100.00%,,,"60,698",34.91%,,,,
,IL,06,,,   ,Total Party Votes:,D,"26,791",,,,,,,,,
,IL,06,,,   ,Total District Votes:,,"93,375",,,,"173,872",,,,,
H4IL07037,IL,07,Danny K.,Davis,"Davis, Danny K.",,D,"92,960",100.00%,,,"137,933",83.21%,,,(I),
,IL,07,,,   ,Total Party Votes:,D,"92,960",,,,,,,,,
