1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,
1136,HI,Hawaii,01,H2HI02110,(I),Colleen W.,Hanabusa,"Hanabusa, Colleen W.",,D,"92,136",84.14%,,,"116,505",54.61%,,,,,W,,
1137,HI,Hawaii,01,H2HI01096,,Roy II (Sky),Wyttenbach,"Wyttenbach, Roy II (Sky)",,D,"17,369",15.86%,,,,,,,,,,,
1138,HI,Hawaii,01,n/a,,,,,Party Votes:,D,"109,505",,,,,,,,,,,,
1139,HI,Hawaii,01,H0HI01157,,Charles K.,Djou,"Djou, Charles K.",,R,"25,984",95.67%,,,"96,824",45.39%,,,,,,,
1140,HI,Hawaii,01,H8HI01176,,C. Kaui Jochanan,Amsterdam,"Amsterdam, C. Kaui Jochanan",,R,799,2.94%,,,,,,,,,,,
1141,HI,Hawaii,01,H0HI01223,,John Raghu,Giuffre,"Giuffre, John Raghu",,R,376,1.38%,,,,,,,,,,,
1142,HI,Hawaii,01,n/a,,,,,Party Votes:,R,"27,159",,,,,,,,,,,,
1143,HI,Hawaii,01,n/a,,,,,District Votes:,,"136,664",,,,"213,329",,,,,,,,
1144,HI,Hawaii,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,,
1145,HI,Hawaii,02,H2HI02508,,Tulsi,Gabbard,"Gabbard, Tulsi",,D,"62,882",55.08%,,,"168,503",80.54%,,,,,W,,
1146,HI,Hawaii,02,H6HI01113,,Mufi,Hannemann,"Hannemann, Mufi",,D,"39,176",34.32%,,,,,,,,,,,
1147,HI,Hawaii,02,H2HI00015,,Esther,Kia'Aina,"Kia'Aina, Esther",,D,"6,681",5.85%,,,,,,,,,,,
1148,HI,Hawaii,02,H2HI02516,,Bob,Marx,"Marx, Bob",,D,"4,327",3.79%,,,,,,,,,,,
1149,HI,Hawaii,02,H4HI02082,,Miles,Shiratori,"Shiratori, Miles",,D,573,0.50%,,,,,,,,,,,
1150,HI,Hawaii,02,H0HI01165,,Rafael,Del Castillo,"Del Castillo, Rafael",,D,520,0.46%,,,,,,,,,,,
1151,HI,Hawaii,02,n/a,,,,,Party Votes:,D,"114,159",,,,,,,,,,,,
1152,HI,Hawaii,02,H2HI02524,,Kawika,Crowley,"Crowley, Kawika",,R,"9,056",60.78%,,,"40,707",19.46%,,,,,,,
1153,HI,Hawaii,02,H2HI02532,,Matthew,DiGeronimo,"DiGeronimo, Matthew",,R,"5,843",39.22%,,,,,,,,,,,
1154,HI,Hawaii,02,n/a,,,,,Party Votes:,R,"14,899",,,,,,,,,,,,
1155,HI,Hawaii,02,n/a,,,,,District Votes:,,"129,058",,,,"209,210",,,,,,,,
1156,HI,Hawaii,,n/a,,,,,,,,,,,,,,,,,,,
1157,HI,Hawaii,H,n/a,,,,,Total State Votes:,,"265,722",,,,"422,539",,,,,,,,
1158,HI,Hawaii,,n/a,,,,,,,,,,,,,,,,,,,
1159,HI,Hawaii,S,S2HI00106,,Mazie,Hirono,"Hirono, Mazie",,D,"134,745",57.67%,,,"269,489",62.60%,,,,,W,,
1160,HI,Hawaii,S,S6HI00180,,Ed,Case,"Case, Ed",,D,"95,553",40.90%,,,,,,,,,,,
1161,HI,Hawaii,S,S0HI00118,,Arturo Pacheco (Art),Reyes,"Reyes, Arturo Pacheco (Art)",,D,"1,720",0.74%,,,,,,,,,,,
1162,HI,Hawaii,S,S2HI00148,,Michael D.,Gillespie,"Gillespie, Michael D.",,D,"1,104",0.47%,,,,,,,,,,,
1163,HI,Hawaii,S,S2HI00130,,Antonio,Gimbernat,"Gimbernat, Antonio",,D,517,0.22%,,,,,,,,,,,
1164,HI,Hawaii,S,n/a,,,,,Party Votes:,D,"233,639",,,,,,,,,,,,
1165,HI,Hawaii,S,S2HI00114,,Linda,Lingle,"Lingle, Linda",,R,"44,252",91.63%,,,"160,994",37.40%,,,,,,,
1166,HI,Hawaii,S,S0HI00126,,John,Carroll,"Carroll, John",,R,"2,900",6.00%,,,,,,,,,,,
1167,HI,Hawaii,S,S0HI00183,,John P.,Roco,"Roco, John P.",,R,545,1.13%,,,,,,,,,,,
1168,HI,Hawaii,S,S6HI00214,,Charles Augustine,Collins,"Collins, Charles Augustine",,R,366,0.76%,,,,,,,,,,,
1169,HI,Hawaii,S,S6HI00222,,Eddie,Pirkowski,"Pirkowski, Eddie",,R,232,0.48%,,,,,,,,,,,
1170,HI,Hawaii,S,n/a,,,,,Party Votes:,R,"48,295",,,,,,,,,,,,
1171,HI,Hawaii,S,S2HI00122,,Heath,Beasley,"Beasley, Heath",,N,827,100.00%,,,,,,,,,,,
1172,HI,Hawaii,S,n/a,,,,,Party Votes:,N,827,,,,,,,,,,,,
1173,HI,Hawaii,S,n/a,,,,,Total State Votes:,,"282,761",,,,"430,483",,,,,,,,
1174,,,,n/a,,,,,,,,,,,,,,,,,,,
1175,ID,Idaho,,n/a,,,,DISTRICT 1,,,,,,,,,,,,,,,
1176,ID,Idaho,01,H0ID01253,(I),Raul R.,Labrador,"Labrador, Raul R.",,R,"58,003",80.65%,,,"199,402",62.96%,,,,,W,,
1177,ID,Idaho,01,H2ID01143 ,,Reed C.,McCandless,"McCandless, Reed C.",,R,"13,917",19.35%,,,,,,,,,,,
1178,ID,Idaho,01,n/a,,,,,Party Votes:,R,"71,920",,,,,,,,,,,,
1179,ID,Idaho,01,H2ID01101,,Jimmy ,Farris,"Farris, Jimmy ",,D,"5,362",53.17%,,,"97,450",30.77%,,,,,,,
1180,ID,Idaho,01,H2ID01119,,Cynthia ,Clinkingbeard,"Clinkingbeard, Cynthia ",,D,"4,723",46.83%,,,,,,,,,,,
1181,ID,Idaho,01,n/a,,,,,Party Votes:,D,"10,085",,,,,,,,,,,,
1182,ID,Idaho,01,H2ID01135 ,,Rob,Oates,"Oates, Rob",,LIB,,,,,"12,265",3.87%,,,,,,,
1183,ID,Idaho,01,H2ID01127,,,Pro-Life,Pro-Life,,IND,,,,,"7,607",2.40%,,,,,,,
1184,ID,Idaho,01,n/a,,,,,District Votes:,,"82,005",,,,"316,724",,,,,,,,
1185,ID,Idaho,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,,
1186,ID,Idaho,02,H81D02064,(I),Mike,Simpson,"Simpson, Mike",,R,"50,799",69.55%,,,"207,412",65.12%,,,,,W,,
1187,ID,Idaho,02,H0ID02061,,"M.C. "Chick""".C. "C""C",Heileson,"Heileson, M.C. "Chick"""eileso",,R,"22,240",30.45%,,,,,,,,,,,
1188,ID,Idaho,02,n/a,,,,,Party Votes:,R,"73,039",,,,,,,,,,,,
1189,ID,Idaho,02,H2ID02133,,Nicole,LeFavour,"LeFavour, Nicole",,D,"10,528",84.06%,,,"110,847",34.80%,,,,,,,
1190,ID,Idaho,02,H0ID02053,,Jack Wayne ,Chappell,"Chappell, Jack Wayne ",,D/W,"1,997",15.94%,,,235,0.07%,,,,,,,
1191,ID,Idaho,02,n/a,,,,,Party Votes:,D,"12,525",,,,,,,,,,,,
1192,ID,Idaho,02,n/a,,,,,District Votes:,,"85,564",,,,"318,494",,,,,,,,
1193,ID,Idaho,,n/a,,,,,,,,,,,,,,,,,,,
1194,ID,Idaho,H,n/a,,,,,Total State Votes:,,"167,569",,,,"635,218",,,,,,,,
1195,,,,n/a,,,,,,,,,,,,,,,,,,,
1196,IL,Illinois,,n/a,,,,DISTRICT 1,,,,,,,,,,,,,,,
1197,IL,Illinois,01,H2IL01042,(I),Bobby L.,Rush,"Rush, Bobby L.",,D,"64,533",83.85%,,,"236,854",73.82%,,,,,W,,
1198,IL,Illinois,01,H2IL01158,,Raymond M.,Lodato,"Lodato, Raymond M.",,D,"3,210",4.17%,,,,,,,,,,,
1199,IL,Illinois,01,H0IL01152,,Harold L.,Bailey,"Bailey, Harold L.",,D,"2,598",3.38%,,,,,,,,,,,
1200,IL,Illinois,01,H2IL01174,,"Clifford M., Jr.",Russell,"Russell, Clifford M., Jr.",,D,"2,412",3.13%,,,,,,,,,,,
1201,IL,Illinois,01,H0IL01137,,Fred,Smith,"Smith, Fred",,D,"2,232",2.90%,,,,,,,,,,,
1202,IL,Illinois,01,H2IL01133,,Jordan,Sims,"Sims, Jordan",,D,"1,980",2.57%,,,,,,,,,,,
1203,IL,Illinois,01,n/a,,,,,Party Votes:,D,"76,965",,,,,,,,,,,,
1204,IL,Illinois,01,H2IL01166,,Donald E.,Peloquin,"Peloquin, Donald E.",,R,"16,355",69.22%,,,"83,989",26.18%,,,,,,,
1205,IL,Illinois,01,H2IL01141,,Frederick,Collins,"Collins, Frederick",,R,"5,773",24.43%,,,,,,,,,,,
1206,IL,Illinois,01,H2IL01182,,Jimmy Lee II,Tillman,"Tillman, Jimmy Lee II",,R,"1,501",6.35%,,,,,,,,,,,
1207,IL,Illinois,01,n/a,,,,,Party Votes:,R,"23,629",,,,,,,,,,,,
1208,IL,Illinois,01,n/a,,John,Hawkins,"Hawkins, John",,W,,,,,1,0.00%,,,,,,,
1209,IL,Illinois,01,n/a,,,,,District Votes:,,"100,594",,,,"320,844",,,,,,,,
1210,IL,Illinois,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,,
1211,IL,Illinois,02,H6IL02124,(I),"Jesse L., Jr.",Jackson,"Jackson, Jesse L., Jr.",,D,"56,109",71.22%,,,"188,303",63.25%,,,,,W,,
1212,IL,Illinois,02,H8IL11113,,"Deborah "Debbie"""eborah ",Halvorson,"Halvorson, Deborah "Debbie"""alvorso",,D,"22,672",28.78%,,,,,,,,,,,
1213,IL,Illinois,02,n/a,,,,,Party Votes:,D,"78,781",,,,,,,,,,,,
1214,IL,Illinois,02,H2IL02149,,Brian,Woodworth,"Woodworth, Brian",,R,"11,123",63.67%,,,"69,115",23.22%,,,,,,,
1215,IL,Illinois,02,H2IL02131,,"James H., Sr.",Taylor,"Taylor, James H., Sr.",,R,"6,347",36.33%,,,,,,,,,,,
1216,IL,Illinois,02,n/a,,,,,Party Votes:,R,"17,470",,,,,,,,,,,,
1217,IL,Illinois,02,H2IL02156,,Marcus,Lewis,"Lewis, Marcus",,IND,,,,,"40,006",13.44%,,,,,,,
1218,IL,Illinois,02,H2IL02107,,Anthony W.,Williams,"Williams, Anthony W.",,W,,,,,288,0.10%,,,,,,,
1219,IL,Illinois,02,n/a,,,,,District Votes:,,"96,251",,,,"297,712",,,,,,,,
1220,IL,Illinois,,n/a,,,,DISTRICT 3,,,,,,,,,,,,,,,
1221,IL,Illinois,03,H4IL03077,(I),Daniel William,Lipinski,"Lipinski, Daniel William",,D,"44,532",87.33%,,,"168,738",68.48%,,,,,W,,
1222,IL,Illinois,03,H2IL03113,,Farah,Baqai,"Baqai, Farah",,D,"6,463",12.67%,,,,,,,,,,,
1223,IL,Illinois,03,n/a,,,,,Party Votes:,D,"50,995",,,,,,,,,,,,
1224,IL,Illinois,03,H2IL03121,,Richard L.,Grabowski,"Grabowski, Richard L.",,R,"20,895",59.35%,,,"77,653",31.52%,,,,,,,
1225,IL,Illinois,03,H2IL03139,,Jim,Falvey,"Falvey, Jim",,R,"10,449",29.68%,,,,,,,,,,,
1226,IL,Illinois,03,H4IL03028,,Arthur J.,Jones,"Jones, Arthur J.",,R,"3,861",10.97%,,,,,,,,,,,
1227,IL,Illinois,03,n/a,,,,,Party Votes:,R,"35,205",,,,,,,,,,,,
1228,IL,Illinois,03,n/a,,Laura,Anderson,"Anderson, Laura",,W,,,,,7,0.00%,,,,,,,
1229,IL,Illinois,03,n/a,,,,,District Votes:,,"86,200",,,,"246,398",,,,,,,,
1230,IL,Illinois,,n/a,,,,DISTRICT 4,,,,,,,,,,,,,,,
1231,IL,Illinois,04,H2IL08039,(I),Luis V.,Gutierrez,"Gutierrez, Luis V.",,D,"30,908",99.98%,,,"133,226",83.00%,,,,,W,,
1232,IL,Illinois,04,n/a,,Jorge,Zavala,"Zavala, Jorge",,W(D),6,0.02%,,,,,,,,,,,
1233,IL,Illinois,04,n/a,,,,,Party Votes:,D,"30,914",,,,,,,,,,,,
1234,IL,Illinois,04,H2IL04145,,Hector,Concepcion,"Concepcion, Hector",,W(R)/R,10,100.00%,,,"27,279",17.00%,,,,,,,
1235,IL,Illinois,04,n/a,,,,,Party Votes:,R,10,,,,,,,,,,,,
1236,IL,Illinois,04,n/a,,Ymelda,Viramontes,"Viramontes, Ymelda",,W,,,,,4,0.00%,,,,,,,
1237,IL,Illinois,04,n/a,,,,,District Votes:,,"30,924",,,,"160,509",,,,,,,,
1238,IL,Illinois,,n/a,,,,DISTRICT 5,,,,,,,,,,,,,,,
1239,IL,Illinois,05,H0IL05096,(I),Mike,Quigley,"Quigley, Mike",,D,"37,967",100.00%,,,"177,729",65.73%,,,,,W,,
1240,IL,Illinois,05,n/a,,,,,Party Votes:,D,"37,967",,,,,,,,,,,,
1241,IL,Illinois,05,H4IL11047,,Dan,Schmitt,"Schmitt, Dan",,R,"23,940",100.00%,,,"77,289",28.59%,,,,,,,
1242,IL,Illinois,05,n/a,,,,,Party Votes:,R,"23,940",,,,,,,,,,,,
1243,IL,Illinois,05,H2IL05183,,Nancy,Wade,"Wade, Nancy",,GRE,,,,,"15,359",5.68%,,,,,,,
1244,IL,Illinois,05,n/a,,,,,District Votes:,,"61,907",,,,"270,377",,,,,,,,
1245,IL,Illinois,,n/a,,,,DISTRICT 6,,,,,,,,,,,,,,,
1246,IL,Illinois,06,H6IL06117,(I),Peter J.,Roskam,"Roskam, Peter J.",,R,"76,146",100.00%,,,"193,138",59.22%,,,,,W,,
1247,IL,Illinois,06,n/a,,,,,Party Votes:,R,"76,146",,,,,,,,,,,,
1248,IL,Illinois,06,H2IL06058,,Leslie,Coolidge,"Coolidge, Leslie",,D,"9,919",54.51%,,,"132,991",40.78%,,,,,,,
1249,IL,Illinois,06,H2IL06074,,Maureen E.,Yates,"Yates, Maureen E.",,D,"5,934",32.61%,,,,,,,,,,,
1250,IL,Illinois,06,H2IL06041,,Geoffrey,Petzel,"Petzel, Geoffrey",,D,"2,343",12.88%,,,,,,,,,,,
1251,IL,Illinois,06,n/a,,,,,Party Votes:,D,"18,196",,,,,,,,,,,,
1252,IL,Illinois,06,n/a,,,,,District Votes:,,"94,342",,,,"326,129",,,,,,,,
1253,IL,Illinois,,n/a,,,,DISTRICT 7,,,,,,,,,,,,,,,
1254,IL,Illinois,07,H4IL07037,(I),Danny K.,Davis,"Davis, Danny K.",,D,"57,896",84.48%,,,"242,439",84.64%,,,,,W,,
1255,IL,Illinois,07,H2IL07098,,Jacques A.,Conway,"Conway, Jacques A.",,D,"10,638",15.52%,,,,,,,,,,,
1256,IL,Illinois,07,n/a,,,,,Party Votes:,D,"68,534",,,,,,,,,,,,
1257,IL,Illinois,07,H2IL07106,,Rita,Zak,"Zak, Rita",,R,,,,,"31,466",10.99%,,,,,,,
1258,IL,Illinois,07,H2IL07114,,John H.,Monaghan,"Monaghan, John H.",,IND,,,,,"12,523",4.37%,,,,,,,
1259,IL,Illinois,07,n/a,,Phil,Collins,"Collins, Phil",,W,,,,,5,0.00%,,,,,,,
1260,IL,Illinois,07,n/a,,Dennis,Richter,"Richter, Dennis",,W,,,,,2,0.00%,,,,,,,
1261,IL,Illinois,07,n/a,,,,,District Votes:,,"68,534",,,,"286,435",,,,,,,,
1262,IL,Illinois,,n/a,,,,DISTRICT 8,,,,,,,,,,,,,,,
1263,IL,Illinois,08,H6IL06141,,Tammy,Duckworth,"Duckworth, Tammy",,D,"17,097",66.18%,,,"123,206",54.74%,,,,,W,,
1264,IL,Illinois,08,H2IL08096,,Raja,Krishnamoorthi,"Krishnamoorthi, Raja",,D,"8,736",33.82%,,,,,,,,,,,
1265,IL,Illinois,08,n/a,,,,,Party Votes:,D,"25,833",,,,,,,,,,,,
1266,IL,Illinois,08,H0IL08090,(I),Joe,Walsh,"Walsh, Joe",,R,"35,102",99.85%,,,"101,860",45.26%,,,,,,,
1267,IL,Illinois,08,n/a,,Robert (Bob),Canfield,"Canfield, Robert "Bob"""anfi",,W(R),54,0.15%,,,,,,,,,,,
1268,IL,Illinois,08,n/a,,,,,Party Votes:,R,"35,156",,,,,,,,,,,,
1269,IL,Illinois,08,n/a,,,,,District Votes:,,"60,989",,,,"225,066",,,,,,,,
1270,IL,Illinois,,n/a,,,,DISTRICT 9,,,,,,,,,,,,,,,
1271,IL,Illinois,09,H8IL09067,(I),Janice D.,Schakowsky,"Schakowsky, Janice D.",,D,"48,124",91.85%,,,"194,869",66.33%,,,,,W,,
1272,IL,Illinois,09,H0IL05286,,Simon,Ribeiro,"Ribeiro, Simon",,D,"4,270",8.15%,,,,,,,,,,,
1273,IL,Illinois,09,n/a,,,,,Party Votes:,D,"52,394",,,,,,,,,,,,
1274,IL,Illinois,09,H2IL09110,,Timothy C.,Wolfe,"Wolfe, Timothy C.",,R,"32,043",100.00%,,,"98,924",33.67%,,,,,,,
1275,IL,Illinois,09,n/a,,,,,Party Votes:,R,"32,043",,,,,,,,,,,,
1276,IL,Illinois,09,n/a,,Hilaire Fuji ,Shioura,"Shioura, Hilaire Fuji ",,W,,,,,8,0.00%,,,,,,,
1277,IL,Illinois,09,n/a,,Susanne,Atanus,"Atanus, Susanne",,W,,,,,6,0.00%,,,,,,,
1278,IL,Illinois,09,n/a,,,,,District Votes:,,"84,437",,,,"293,807",,,,,,,,
1279,IL,Illinois,,n/a,,,,DISTRICT 10,,,,,,,,,,,,,,,
1280,IL,Illinois,10,H2IL10068,,Brad,Schneider,"Schneider, Brad",,D,"15,530",46.88%,,,"133,890",50.63%,,,,,W,,
1281,IL,Illinois,10,H2IL10050,,Ilya,Sheyman,"Sheyman, Ilya",,D,"12,767",38.54%,,,,,,,,,,,
1282,IL,Illinois,10,H2IL10100,,John,Tree,"Tree, John",,D,"2,938",8.87%,,,,,,,,,,,
1283,IL,Illinois,10,H2IL10084,,Vivek,Bavda,"Bavda, Vivek",,D,"1,881",5.68%,,,,,,,,,,,
1284,IL,Illinois,10,H2IL10092,,Aloys,Rutagwibira,"Rutagwibira, Aloys",,W(D),8,0.02%,,,,,,,,,,,
1285,IL,Illinois,10,n/a,,,,,Party Votes:,D,"33,124",,,,,,,,,,,,
1286,IL,Illinois,10,H0IL10302,(I),Robert,Dold,"Dold, Robert",,R,"36,647",100.00%,,,"130,564",49.37%,,,,,,,
1287,IL,Illinois,10,n/a,,,,,Party Votes:,R,"36,647",,,,,,,,,,,,
1288,IL,Illinois,10,n/a,,,,,District Votes:,,"69,771",,,,"264,454",,,,,,,,
1289,IL,Illinois,,n/a,,,,DISTRICT 11,,,,,,,,,,,,,,,
1290,IL,Illinois,11,H8IL14067,,Bill,Foster,"Foster, Bill",,D,"12,126",58.48%,,,"148,928",58.57%,,,,,W,,
1291,IL,Illinois,11,H2IL11108,,Juan,Thomas,"Thomas, Juan",,D,"5,212",25.13%,,,,,,,,,,,
1292,IL,Illinois,11,H2IL11116,,Jim,Hickey,"Hickey, Jim",,D,"3,399",16.39%,,,,,,,,,,,
1293,IL,Illinois,11,n/a,,,,,Party Votes:,D,"20,737",,,,,,,,,,,,
1294,IL,Illinois,11,H8IL13069,(I),Judy,Biggert,"Biggert, Judy",,R,"31,471",99.88%,,,"105,348",41.43%,,,,,,,
1295,IL,Illinois,11,n/a,,Diane M.,Harris,"Harris, Diane M.",,W(R),37,0.12%,,,,,,,,,,,
1296,IL,Illinois,11,n/a,,,,,Party Votes:,R,"31,508",,,,,,,,,,,,
1297,IL,Illinois,11,n/a,,Chris,Michel,"Michel, Chris",,W,,,,,19,0.01%,,,,,,,
1298,IL,Illinois,11,n/a,,,,,District Votes:,,"52,245",,,,"254,295",,,,,,,,
1299,IL,Illinois,,n/a,,,,DISTRICT 12,,,,,,,,,,,,,,,
1300,IL,Illinois,12,H2IL12122,,William L.,Enyart,"Enyart, William L. #",,D,#,,,,"157,000",51.65%,,,,,W,#  Brad Harriman withdrew after the primary election and William Enyart was selected by the party to fill the vacancy on the general election ballot.,
1301,IL,Illinois,12,H2IL12114,,Brad,Harriman,"Harriman, Brad #",,D,"27,409",69.83%,,,,,,,,,,#  Brad Harriman withdrew after the primary election and William Enyart was selected by the party to fill the vacancy on the general election ballot.,
1302,IL,Illinois,12,H2IL12106,,Christopher,Miller,"Miller, Christopher",,D,"8,874",22.61%,,,,,,,,,,,
1303,IL,Illinois,12,H8IL12053,,Kenneth Charles,Wiezer,"Wiezer, Kenneth Charles",,D,"2,967",7.56%,,,,,,,,,,,
1304,IL,Illinois,12,n/a,,,,,Party Votes:,D,"39,250",,,,,,,,,,,,
1305,IL,Illinois,12,H2IL12098,,Jason,Plummer,"Plummer, Jason",,R,"25,280",55.68%,,,"129,902",42.74%,,,,,,,
1306,IL,Illinois,12,H2IL12080,,Rodger,Cook,"Cook, Rodger",,R,"16,313",35.93%,,,,,,,,,,,
1307,IL,Illinois,12,H0IL12076,,Theresa ,Kormos,"Kormos, Theresa ",,R,"3,811",8.39%,,,,,,,,,,,
1308,IL,Illinois,12,n/a,,,,,Party Votes:,R,"45,404",,,,,,,,,,,,
1309,IL,Illinois,12,H2IL12130,,Paula,Bradshaw,"Bradshaw, Paula",,GRE,,,,,"17,045",5.61%,,,,,,,
1310,IL,Illinois,12,H2IL12130,,Shon-Tiyon,Horton,"Horton, Shon-Tiyon",,W,,,,,2,0.00%,,,,,,,
1311,IL,Illinois,12,n/a,,,,,District Votes:,,"84,654",,,,"303,949",,,,,,,,
1312,IL,Illinois,,n/a,,,,DISTRICT 13,,,,,,,,,,,,,,,
1313,IL,Illinois,13,H2IL13120,,Rodney,Davis,"Davis, Rodney #",,R,#,,,,"137,034",46.55%,,,,,W,#  Tim Johnson withdrew after the primary election and Rodney Davis was selected by the party to fill the vacancy on the general election ballot.,
1314,IL,Illinois,13,H0IL15053,(I),Tim,Johnson,"Johnson, Tim #",,R,"35,655",68.66%,,,,,,,,,,#  Tim Johnson withdrew after the primary election and Rodney Davis was selected by the party to fill the vacancy on the general election ballot.,
1315,IL,Illinois,13,H2IL13104,,Frank L.,Metzger,"Metzger, Frank L.",,R,"9,571",18.43%,,,,,,,,,,,
1316,IL,Illinois,13,H0IL19048,,Michael,Firsching,"Firsching, Michael",,R,"6,706",12.91%,,,,,,,,,,,
1317,IL,Illinois,13,n/a,,,,,Party Votes:,R,"51,932",,,,,,,,,,,,
1318,IL,Illinois,13,H4IL15055,,David M.,Gill,"Gill, David M.",,D,"15,536",50.26%,,,"136,032",46.21%,,,,,,,
1319,IL,Illinois,13,H2IL13096,,Matthew J. ,Goetten,"Goetten, Matthew J. ",,D,"15,373",49.74%,,,,,,,,,,,
1320,IL,Illinois,13,n/a,,,,,Party Votes:,D,"30,909",,,,,,,,,,,,
1321,IL,Illinois,13,H2IL13138,,John,Hartman,"Hartman, John ",,IND,,,,,"21,319",7.24%,,,,,,,
1322,IL,Illinois,13,n/a,,,,,District Votes:,,"82,841",,,,"294,385",,,,,,,,
1323,IL,Illinois,,n/a,,,,DISTRICT 14,,,,,,,,,,,,,,,
1324,IL,Illinois,14,H0IL14080,(I),Randy M.,Hultgren,"Hultgren, Randy M.",,R,"64,419",100.00%,,,"177,603",58.82%,,,,,W,,
1325,IL,Illinois,14,n/a,,Mark,Mastrogiovanni,"Mastrogiovanni, Mark",,W(R),1,0.00%,,,,,,,,,,,
1326,IL,Illinois,14,n/a,,,,,Party Votes:,R,"64,420",,,,,,,,,,,,
1327,IL,Illinois,14,H2IL14078,,Dennis,Anderson,"Anderson, Dennis",,D,"9,344",74.15%,,,"124,351",41.18%,,,,,,,
1328,IL,Illinois,14,H0IL08132,,Jonathan,Farnick,"Farnick, Jonathan",,D,"3,258",25.85%,,,,,,,,,,,
1329,IL,Illinois,14,n/a,,,,,Party Votes:,D,"12,602",,,,,,,,,,,,
1330,IL,Illinois,14,n/a,,,,,District Votes:,,"77,022",,,,"301,954",,,,,,,,
1331,IL,Illinois,,n/a,,,,DISTRICT 15,,,,,,,,,,,,,,,
1332,IL,Illinois,15,H2IL20042,(I),John M.,Shimkus,"Shimkus, John M.",,R,"66,709",100.00%,,,"205,775",68.61%,,,,,W,,
1333,IL,Illinois,15,n/a,,,,,Party Votes:,R,"66,709",,,,,,,,,,,,
1334,IL,Illinois,15,H2IL15083,,Angela,Michael,"Michael, Angela",,D,"16,831",100.00%,,,"94,162",31.39%,,,,,,,
1335,IL,Illinois,15,n/a,,,,,Party Votes:,D,"16,831",,,,,,,,,,,,
1336,IL,Illinois,15,n/a,,,,,District Votes:,,"83,540",,,,"299,937",,,,,,,,
1337,IL,Illinois,,n/a,,,,DISTRICT 16,,,,,,,,,,,,,,,
1338,IL,Illinois,16,H0IL11052,(I),Adam,Kinzinger,"Kinzinger, Adam",,R,"45,546",53.94%,,,"181,789",61.81%,,,,,W,,
1339,IL,Illinois,16,H0IL16085,(I),Donald A.,Manzullo,"Manzullo, Donald A.",,R,"38,889",46.06%,,,,,,,,,,,
1340,IL,Illinois,16,n/a,,,,,Party Votes:,R,"84,435",,,,,,,,,,,,
1341,IL,Illinois,16,H2IL16057,,Wanda,Rohl,"Rohl, Wanda",,D,,,,,"112,301",38.19%,,,,,,,
1342,IL,Illinois,16,n/a,,,,,District Votes:,,"84,435",,,,"294,090",,,,,,,,
1343,IL,Illinois,,n/a,,,,DISTRICT 17,,,,,,,,,,,,,,,
1344,IL,Illinois,17,H2IL17071,,Cheri,Bustos,"Bustos, Cheri",,D,"18,652",54.40%,,,"153,519",53.28%,,,,,W,,
1345,IL,Illinois,17,H0IL16168,,George,Gaulrapp,"Gaulrapp, George",,D,"8,838",25.78%,,,,,,,,,,,
1346,IL,Illinois,17,H2IL17097,,Greg,Aguilar,"Aguilar, Greg",,D,"6,798",19.83%,,,,,,,,,,,
1347,IL,Illinois,17,n/a,,,,,Party Votes:,D,"34,288",,,,,,,,,,,,
1348,IL,Illinois,17,H0IL17059,(I),Bobby ,Schilling,"Schilling, Bobby ",,R,"46,263",100.00%,,,"134,623",46.72%,,,,,,,
1349,IL,Illinois,17,n/a,,,,,Party Votes:,R,"46,263",,,,,,,,,,,,
1350,IL,Illinois,17,H2IL17089,,Eric,Reyes,"Reyes, Eric",,W,,,,,10,0.00%,,,,,,,
1351,IL,Illinois,17,n/a,,Joe,Faber,"Faber, Joe",,W,,,,,9,0.00%,,,,,,,
1352,IL,Illinois,17,n/a,,,,,District Votes:,,"80,551",,,,"288,161",,,,,,,,
1353,IL,Illinois,,n/a,,,,DISTRICT 18,,,,,,,,,,,,,,,
1354,IL,Illinois,18,H8IL18043,(I),Aaron,Schock,"Schock, Aaron",,R,"87,441",100.00%,,,"244,467",74.16%,,,,,W,,
1355,IL,Illinois,18,n/a,,,,,Party Votes:,R,"87,441",,,,,,,,,,,,
1356,IL,Illinois,18,H4IL18091,,Steve,Waterworth,"Waterworth, Steve",,D,"10,211",69.58%,,,"85,164",25.84%,,,,,,,
1357,IL,Illinois,18,H2IL18053,,Matthew A.,Woodmancy,"Woodmancy, Matthew A.",,D,"4,465",30.42%,,,,,,,,,,,
1358,IL,Illinois,18,n/a,,,,,Party Votes:,D,"14,676",,,,,,,,,,,,
1359,IL,Illinois,18,n/a,,,,,District Votes:,,"102,117",,,,"329,631",,,,,,,,
1360,IL,Illinois,,n/a,,,,,,,,,,,,,,,,,,,
1361,IL,Illinois,H,n/a,,,,,Total State Votes:,,"1,401,354",,,,"5,058,133",,,,,,,,
